GRAPHEME	FROM_PHONATION	FROM_PLACE	FROM_MANNER	TO_PHONATION	TO_PLACE	TO_MANNER	ALIAS	EXTRA	NOTE
b̤d̪̈	from_breathy-voiced	from_bilabial	from_plosive	to_breathy-voiced	to_dental	to_plosive			
b̤d̰	from_breathy-voiced	from_bilabial	from_plosive	to_creaky-voiced	to_alveolar	to_plosive			
b̤d̻	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_lamino-dental	to_plosive			
b̤g	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_velar	to_plosive			
b̤g̈	from_breathy-voiced	from_bilabial	from_plosive	to_breathy-voiced	to_velar	to_plosive			
b̤g̊	from_breathy-voiced	from_bilabial	from_plosive	to_devoiced	to_velar	to_plosive			
b̤k	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_velar	to_plosive			
b̤kʼ	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_velar	to_plosive		to_ejection:to_ejective	
b̤p	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_bilabial	to_plosive			
b̤pʼ	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_bilabial	to_plosive		to_ejection:to_ejective	
b̤q	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_uvular	to_plosive			
b̤qʼ	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_uvular	to_plosive		to_ejection:to_ejective	
b̤t	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_alveolar	to_plosive			
b̤tʼ	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_alveolar	to_plosive		to_ejection:to_ejective	
b̤t̠	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_postalveolar	to_plosive			
b̤t̪	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_dental	to_plosive			
b̤t̻	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_lamino-dental	to_plosive			
b̤ɓ	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_bilabial	to_implosive			
b̤ɖ	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_retroflex	to_plosive			
b̤ɖ̤	from_breathy-voiced	from_bilabial	from_plosive	to_breathy-voiced	to_retroflex	to_plosive			
b̤ɗ	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_dental	to_implosive			
b̤ɟ	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_palatal	to_plosive			
b̤ɠ	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_velar	to_implosive			
b̤ɢ	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_uvular	to_plosive			
b̤ʄ	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_palatal	to_implosive			
b̤ʈ	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_retroflex	to_plosive			
b̤ʔ	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_glottal	to_plosive			
b̤ʛ	from_breathy-voiced	from_bilabial	from_plosive	to_voiced	to_uvular	to_implosive			
b̤ʛ̥	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_uvular	to_implosive			
b̤ʡ	from_breathy-voiced	from_bilabial	from_plosive	to_voiceless	to_epiglottal	to_plosive			
b̥b	from_devoiced	from_bilabial	from_plosive	to_voiced	to_bilabial	to_plosive			
b̥b̤	from_devoiced	from_bilabial	from_plosive	to_breathy-voiced	to_bilabial	to_plosive			
b̥c	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_palatal	to_plosive			
b̥cʼ	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_palatal	to_plosive		to_ejection:to_ejective	
b̥d	from_devoiced	from_bilabial	from_plosive	to_voiced	to_alveolar	to_plosive			
b̥d̠	from_devoiced	from_bilabial	from_plosive	to_voiced	to_postalveolar	to_plosive			
b̥d̤	from_devoiced	from_bilabial	from_plosive	to_breathy-voiced	to_alveolar	to_plosive			
b̥d̪	from_devoiced	from_bilabial	from_plosive	to_voiced	to_dental	to_plosive			
b̥d̪̈	from_devoiced	from_bilabial	from_plosive	to_breathy-voiced	to_dental	to_plosive			
b̥d̰	from_devoiced	from_bilabial	from_plosive	to_creaky-voiced	to_alveolar	to_plosive			
b̥d̻	from_devoiced	from_bilabial	from_plosive	to_voiced	to_lamino-dental	to_plosive			
b̥g	from_devoiced	from_bilabial	from_plosive	to_voiced	to_velar	to_plosive			
b̥g̈	from_devoiced	from_bilabial	from_plosive	to_breathy-voiced	to_velar	to_plosive			
b̥g̊	from_devoiced	from_bilabial	from_plosive	to_devoiced	to_velar	to_plosive			
b̥k	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_velar	to_plosive			
b̥kʼ	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_velar	to_plosive		to_ejection:to_ejective	
b̥p	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_bilabial	to_plosive			
b̥pʼ	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_bilabial	to_plosive		to_ejection:to_ejective	
b̥q	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_uvular	to_plosive			
b̥qʼ	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_uvular	to_plosive		to_ejection:to_ejective	
b̥t	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_alveolar	to_plosive			
b̥tʼ	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_alveolar	to_plosive		to_ejection:to_ejective	
b̥t̠	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_postalveolar	to_plosive			
b̥t̪	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_dental	to_plosive			
b̥t̻	from_devoiced	from_bilabial	from_plosive	to_voiceless	to_lamino-dental	to_plosive			
b̥ɓ	from_devoiced	from_bilabial	from_plosive	to_voiced	to_bilabial	to_implosive			
b̥ɖ	from_devoiced	from_bilabial	from_plosive	to_voiced	to_retroflex	to_plosive			
b̥ɖ̤	from_devoiced	from_bilabial	from_plosive	to_breathy-voiced	to_retroflex	to_plosive			
