ID	DESCRIPTION	REFS
bipa	Broad version of IPA, understood as a reference for the other systems.	IPA1999,IPA2015
gld	Transcription system of the Global Lexicostatistical Database project.	Starostin2013
asjp	Transcription system of the ASJP project.	Wichmann2016
