GRAPHEME	SOUND_CLASS	NAME	SOUND_CLASS_MODEL
ɓʲ	P	palatalized voiced bilabial implosive consonant	sca
m	M	voiced bilabial nasal consonant	sca
mʰ	M	aspirated voiced bilabial nasal consonant	sca
mː	M	long voiced bilabial nasal consonant	sca
mʷ	M	labialized voiced bilabial nasal consonant	sca
m̩	M	syllabic voiced bilabial nasal consonant	sca
mˠ	M	velarized voiced bilabial nasal consonant	sca
m̥	M	devoiced voiced bilabial nasal consonant	sca
bʱ	P	breathy voiced bilabial stop consonant	sca
bʱː	P	long breathy voiced bilabial stop consonant	sca
b	P	voiced bilabial stop consonant	sca
bʰː	P	aspirated long voiced bilabial stop consonant	sca
bʰ	P	aspirated voiced bilabial stop consonant	sca
b̥ʰ	P	aspirated devoiced voiced bilabial stop consonant	sca
p̬	P	revoiced voiceless bilabial stop consonant	sca
bː	P	long voiced bilabial stop consonant	sca
bʷ	P	labialized voiced bilabial stop consonant	sca
ⁿb	P	pre-nasalized voiced bilabial stop consonant	sca
b̚	P	unreleased voiced bilabial stop consonant	sca
bⁿ	P	with-nasal-release voiced bilabial stop consonant	sca
bˠ	P	velarized voiced bilabial stop consonant	sca
b̥	P	devoiced voiced bilabial stop consonant	sca
p	P	voiceless bilabial stop consonant	sca
pʰ	P	aspirated voiceless bilabial stop consonant	sca
pː	P	long voiceless bilabial stop consonant	sca
pʼ	P	voiceless bilabial ejective stop consonant	sca
pʷ	P	labialized voiceless bilabial stop consonant	sca
pʰʲ	P	palatalized aspirated voiceless bilabial stop consonant	sca
ʰp	P	pre-aspirated voiceless bilabial stop consonant	sca
ⁿp	P	pre-nasalized voiceless bilabial stop consonant	sca
p̚	P	unreleased voiceless bilabial stop consonant	sca
pˠ	P	velarized voiceless bilabial stop consonant	sca
ʙ	B	voiced bilabial trill consonant	sca
ʙ̩	B	syllabic voiced bilabial trill consonant	sca
ʙ̥	B	devoiced voiced bilabial trill consonant	sca
mʱ	M	breathy voiced bilabial nasal consonant	sca
pʰː	P	aspirated long voiceless bilabial stop consonant	sca
bˤː	P	pharyngealized long voiced bilabial stop consonant	sca
bʷː	P	labialized long voiced bilabial stop consonant	sca
mʷː	M	labialized long voiced bilabial nasal consonant	sca
mˤː	M	pharyngealized long voiced bilabial nasal consonant	sca
dð	T	voiced dental affricate consonant	sca
d̪ɮ	T	voiced dental lateral affricate consonant	sca
dz̪	T	voiced dental sibilant affricate consonant	sca
dz̪ː	T	long voiced dental sibilant affricate consonant	sca
tθ	T	voiceless dental affricate consonant	sca
ts̪ʰ	T	aspirated voiceless dental affricate consonant	sca
tɬ̪	T	voiceless dental lateral affricate consonant	sca
tɬ̪ʰ	T	aspirated voiceless dental lateral affricate consonant	sca
tɬ̪ʼ	T	voiceless dental ejective lateral affricate consonant	sca
ts̪	T	voiceless dental sibilant affricate consonant	sca
ts̪ː	T	long voiceless dental sibilant affricate consonant	sca
ts̪ʼ	T	voiceless dental ejective sibilant affricate consonant	sca
ts̪ʲ	T	palatalized voiceless dental sibilant affricate consonant	sca
ð̞	D	voiced dental approximant consonant	sca
l̪	L	voiced dental lateral approximant consonant	sca
l̪ː	L	long voiced dental lateral approximant consonant	sca
l̪ʲ	L	palatalized voiced dental lateral approximant consonant	sca
l̪̥	L	devoiced voiced dental lateral approximant consonant	sca
gǀ	K	voiced dental click consonant	sca
ǀ	!	voiceless dental click consonant	sca
ð	D	voiced dental fricative consonant	sca
ðː	D	long voiced dental fricative consonant	sca
z̪	S	voiced dental sibilant fricative consonant	sca
z̪̥	S	devoiced voiced dental sibilant fricative consonant	sca
θ	D	voiceless dental fricative consonant	sca
θː	D	long voiceless dental fricative consonant	sca
θ̬	D	revoiced voiceless dental fricative consonant	sca
ɬ̪	L	voiceless dental lateral fricative consonant	sca
ɬ̪ʼ	L	voiceless dental ejective lateral fricative consonant	sca
s̪	S	voiceless dental sibilant fricative consonant	sca
s̪ʼ	S	voiceless dental ejective sibilant fricative consonant	sca
s̪ʲ	S	palatalized voiceless dental sibilant fricative consonant	sca
s̪ˠ	S	velarized voiceless dental sibilant fricative consonant	sca
ɗ	T	voiced dental implosive consonant	sca
ɗ̥	T	devoiced voiced dental implosive consonant	sca
n̪	N	voiced dental nasal consonant	sca
n̪ˠ	N	velarized voiced dental nasal consonant	sca
d̪ʱ	T	breathy voiced dental stop consonant	sca
d̪ʱː	T	long breathy voiced dental stop consonant	sca
d̪̰	T	creaky voiced dental stop consonant	sca
d̪	T	voiced dental stop consonant	sca
d̪ː	T	long voiced dental stop consonant	sca
d̪ʲ	T	palatalized voiced dental stop consonant	sca
d̪ˤ	T	pharyngealized voiced dental stop consonant	sca
ⁿd̪	T	pre-nasalized voiced dental stop consonant	sca
d̪̚	T	unreleased voiced dental stop consonant	sca
d̪̥̚	T	unreleased devoiced voiced dental stop consonant	sca
d̪ⁿ	T	with-nasal-release voiced dental stop consonant	sca
d̪̥ⁿ	T	with-nasal-release devoiced voiced dental stop consonant	sca
d̪ˠ	T	velarized voiced dental stop consonant	sca
t̪	T	voiceless dental stop consonant	sca
t̪ʰ	T	aspirated voiceless dental stop consonant	sca
t̪ː	T	long voiceless dental stop consonant	sca
t̪ʼ	T	voiceless dental ejective stop consonant	sca
t̪ʷ	T	labialized voiceless dental stop consonant	sca
t̪ʷʰ	T	labialized aspirated voiceless dental stop consonant	sca
t̪ʲ	T	palatalized voiceless dental stop consonant	sca
t̪ʰʲ	T	palatalized aspirated voiceless dental stop consonant	sca
t̪ˤ	T	pharyngealized voiceless dental stop consonant	sca
ʰt̪	T	pre-aspirated voiceless dental stop consonant	sca
ʰt̪ʰ	T	pre-aspirated aspirated voiceless dental stop consonant	sca
ⁿt̪	T	pre-nasalized voiceless dental stop consonant	sca
t̪̚	T	unreleased voiceless dental stop consonant	sca
t̪ⁿ	T	with-nasal-release voiceless dental stop consonant	sca
t̪ˠ	T	velarized voiceless dental stop consonant	sca
r̪	R	voiced dental trill consonant	sca
r̪ː	R	long voiced dental trill consonant	sca
r̪ˤ	R	pharyngealized voiced dental trill consonant	sca
r̪̥	R	devoiced voiced dental trill consonant	sca
t̪ʰː	T	aspirated long voiceless dental stop consonant	sca
l̪̩	L	syllabic voiced dental lateral approximant consonant	sca
ð̚	D	unreleased voiced dental fricative consonant	sca
ŋǀ	N	voiced dental nasal-click consonant	sca
ŋ̊ǀ	N	devoiced voiced dental nasal-click consonant	sca
ˀŋǀ	N	pre-glottalized voiced dental nasal-click consonant	sca
ⁿgǀ	K	pre-nasalized voiced dental click consonant	sca
ʢ	0	voiced epiglottal fricative consonant	sca
ʜ	0	voiceless epiglottal fricative consonant	sca
ʡ	H	voiceless epiglottal stop consonant	sca
ʔh	H	voiceless glottal affricate consonant	sca
ɦ	H	voiced glottal fricative consonant	sca
h	H	voiceless glottal fricative consonant	sca
h̃	H	nasalized voiceless glottal fricative consonant	sca
ʔ	H	voiceless glottal stop consonant	sca
ʔʷ	H	labialized voiceless glottal stop consonant	sca
ʔʲ	H	palatalized voiceless glottal stop consonant	sca
gʘ	K	voiced labial click consonant	sca
ʘ	!	voiceless labial click consonant	sca
ŋʘ	N	voiced labial nasal-click consonant	sca
ŋ̊ʘ	N	devoiced voiced labial nasal-click consonant	sca
ˀŋʘ	N	pre-glottalized voiced labial nasal-click consonant	sca
ⁿgʘ	K	pre-nasalized voiced labial click consonant	sca
ɥ	J	voiced labialized-palatal approximant consonant	sca
w	W	voiced labialized-velar approximant consonant	sca
wː	W	long voiced labialized-velar approximant consonant	sca
w̃	W	nasalized voiced labialized-velar approximant consonant	sca
wˠ	W	velarized voiced labialized-velar approximant consonant	sca
ʍ	M	voiceless labialized-velar approximant consonant	sca
vʲ	B	palatalized voiced labio-dental fricative consonant	sca
ⱱ	W	voiced labio-dental tap consonant	sca
bv	B	voiced labio-dental affricate consonant	sca
pf	B	voiceless labio-dental affricate consonant	sca
pfʼ	P	voiceless labio-dental ejective affricate consonant	sca
ʋ	W	voiced labio-dental approximant consonant	sca
v	B	voiced labio-dental fricative consonant	sca
vː	B	long voiced labio-dental fricative consonant	sca
v̩	B	syllabic voiced labio-dental fricative consonant	sca
v̥	B	devoiced voiced labio-dental fricative consonant	sca
f	B	voiceless labio-dental fricative consonant	sca
fʰ	B	aspirated voiceless labio-dental fricative consonant	sca
fː	B	long voiceless labio-dental fricative consonant	sca
fʼ	B	voiceless labio-dental ejective fricative consonant	sca
fʲ	B	palatalized voiceless labio-dental fricative consonant	sca
fˠ	B	velarized voiceless labio-dental fricative consonant	sca
ɱ	M	voiced labio-dental nasal consonant	sca
ɱ̊	M	devoiced voiced labio-dental nasal consonant	sca
fʷː	B	labialized long voiceless labio-dental fricative consonant	sca
gǁ	K	voiced lateral click consonant	sca
ǁ	!	voiceless lateral click consonant	sca
ŋǁ	N	voiced lateral nasal-click consonant	sca
ŋ̊ǁ	N	devoiced voiced lateral nasal-click consonant	sca
ˀŋǁ	N	pre-glottalized voiced lateral nasal-click consonant	sca
ⁿgǁ	K	pre-nasalized voiced lateral click consonant	sca
ɟʝ	C	voiced palatal affricate consonant	sca
cç	C	voiceless palatal affricate consonant	sca
j	J	voiced palatal approximant consonant	sca
jː	J	long voiced palatal approximant consonant	sca
j̃	J	nasalized voiced palatal approximant consonant	sca
ʎ	L	voiced palatal lateral approximant consonant	sca
ʎ̥	L	devoiced voiced palatal lateral approximant consonant	sca
gǂ	K	voiced palatal click consonant	sca
ǂ	!	voiceless palatal click consonant	sca
ʝ	S	voiced palatal fricative consonant	sca
ʄ	C	voiced palatal implosive consonant	sca
ɲ	N	voiced palatal nasal consonant	sca
ɲː	N	long voiced palatal nasal consonant	sca
ɲ̍	N	syllabic voiced palatal nasal consonant	sca
ɲ̊	N	devoiced voiced palatal nasal consonant	sca
ç	C	voiceless palatal sibilant fricative consonant	sca
ɟ	C	voiced palatal stop consonant	sca
ⁿɟ	C	pre-nasalized voiced palatal stop consonant	sca
c	C	voiceless palatal stop consonant	sca
cʰ	C	aspirated voiceless palatal stop consonant	sca
cː	C	long voiceless palatal stop consonant	sca
cʼ	C	voiceless palatal ejective stop consonant	sca
cçʰ	C	aspirated voiceless palatal affricate consonant	sca
j̊	J	devoiced voiced palatal approximant consonant	sca
ŋǂ	N	voiced palatal nasal-click consonant	sca
ŋ̊ǂ	N	devoiced voiced palatal nasal-click consonant	sca
ˀŋǂ	N	pre-glottalized voiced palatal nasal-click consonant	sca
ⁿgǂ	K	pre-nasalized voiced palatal click consonant	sca
ɧ	S	voiceless palatal-velar fricative consonant	sca
ʕ	H	voiced pharyngeal fricative consonant	sca
ħ	H	voiceless pharyngeal fricative consonant	sca
ʃʲ	S	palatalized voiceless post-alveolar sibilant fricative consonant	sca
dʒʱ	T	breathy voiced post-alveolar sibilant affricate consonant	sca
ⁿdʒ	T	pre-nasalized voiced post-alveolar affricate consonant	sca
dʒ	T	voiced post-alveolar sibilant affricate consonant	sca
dːʒ	T	long voiced post-alveolar sibilant affricate consonant	sca
dʒʲ	T	palatalized voiced post-alveolar sibilant affricate consonant	sca
tʃ	T	voiceless post-alveolar sibilant affricate consonant	sca
tʃʰ	T	aspirated voiceless post-alveolar sibilant affricate consonant	sca
tʃː	T	long voiceless post-alveolar sibilant affricate consonant	sca
tʃʼ	T	voiceless post-alveolar ejective sibilant affricate consonant	sca
tʃʲ	T	palatalized voiceless post-alveolar sibilant affricate consonant	sca
ⁿtʃ	T	pre-nasalized voiceless post-alveolar sibilant affricate consonant	sca
ɹ̠	R	voiced post-alveolar approximant consonant	sca
ʒ	S	voiced post-alveolar sibilant fricative consonant	sca
ʒ̍	S	syllabic voiced post-alveolar sibilant fricative consonant	sca
ʒ̊	S	devoiced voiced post-alveolar sibilant fricative consonant	sca
ʃ	S	voiceless post-alveolar sibilant fricative consonant	sca
ʃʼ	S	voiceless post-alveolar ejective sibilant fricative consonant	sca
d̠	T	voiced post-alveolar stop consonant	sca
t̠	T	voiceless post-alveolar stop consonant	sca
tʃʷ	T	labialized voiceless post-alveolar sibilant affricate consonant	sca
dʒʷ	T	labialized voiced post-alveolar sibilant affricate consonant	sca
tʃʼː	T	long voiceless post-alveolar ejective sibilant affricate consonant	sca
ʈʂ’	T	voiceless retroflex ejective sibilant affricate consonant	sca
ɖʐ	C	voiced retroflex sibilant affricate consonant	sca
ʈʂː	T	long voiced retroflex sibilant affricate consonant	sca
ʈʂ	C	voiceless retroflex sibilant affricate consonant	sca
ʈʂʰ	C	aspirated voiceless retroflex sibilant affricate consonant	sca
ɻ	R	voiced retroflex approximant consonant	sca
ɭ	L	voiced retroflex lateral approximant consonant	sca
ɭ̊	L	devoiced voiced retroflex lateral approximant consonant	sca
gǃǃ	K	voiced retroflex click consonant	sca
ǃǃ	!	voiceless retroflex click consonant	sca
ʐ	S	voiced retroflex sibilant fricative consonant	sca
ʂ	S	voiceless retroflex sibilant fricative consonant	sca
ɳ	N	voiced retroflex nasal consonant	sca
ɳ̍	N	syllabic voiced retroflex nasal consonant	sca
ɳ̊	N	devoiced voiced retroflex nasal consonant	sca
ɖʱ	T	breathy voiced retroflex stop consonant	sca
ɖ	T	voiced retroflex stop consonant	sca
ʈ	T	voiceless retroflex stop consonant	sca
ʈʰ	T	aspirated voiceless retroflex stop consonant	sca
ɽʱ	R	breathy voiced retroflex tap consonant	sca
ɽ	R	voiced retroflex tap consonant	sca
ʈʰː	T	aspirated long voiceless retroflex stop consonant	sca
ɭ̩	L	syllabic voiced retroflex lateral approximant consonant	sca
ŋǃǃ	N	voiced retroflex nasal-click consonant	sca
ŋ̊ǃǃ	N	devoiced voiced retroflex nasal-click consonant	sca
ˀŋǃǃ	N	pre-glottalized voiced retroflex nasal-click consonant	sca
ⁿgǃǃ	K	pre-nasalized voiced retroflex click consonant	sca
ɢʁ	K	voiced uvular affricate consonant	sca
qχ	K	voiceless uvular affricate consonant	sca
ʁ̞	R	voiced uvular approximant consonant	sca
ʁ	R	voiced uvular fricative consonant	sca
ʁ̥	R	devoiced voiced uvular fricative consonant	sca
χ	G	voiceless uvular fricative consonant	sca
χʼ	G	voiceless uvular ejective fricative consonant	sca
χʷ	G	labialized voiceless uvular fricative consonant	sca
ʛ	0	voiced uvular implosive consonant	sca
ʛ̥	0	voiceless uvular implosive consonant	sca
ɴ	N	voiced uvular nasal consonant	sca
ɴ̩	N	syllabic voiced uvular nasal consonant	sca
ɴ̥	N	devoiced voiced uvular nasal consonant	sca
ɢ	K	voiced uvular stop consonant	sca
q	K	voiceless uvular stop consonant	sca
qʰ	K	aspirated voiceless uvular stop consonant	sca
qʼ	K	voiceless uvular ejective stop consonant	sca
qʷ	K	labialized voiceless uvular stop consonant	sca
qʷʰ	K	labialized aspirated voiceless uvular stop consonant	sca
qʼʷ	K	labialized voiceless uvular ejective stop consonant	sca
q̚	K	unreleased voiceless uvular stop consonant	sca
ɢʰ	K	aspirated voiced uvular stop consonant	sca
ʀ	R	voiced uvular trill consonant	sca
ʀ̥	R	devoiced voiced uvular trill consonant	sca
gʲ	K	palatalized voiced velar stop consonant	sca
kʲ	K	palatalized voiceless velar stop consonant	sca
xʲ	G	palatalized voiceless velar fricative consonant	sca
gɣ	K	voiced velar affricate consonant	sca
kx	K	voiceless velar affricate consonant	sca
kʼ	K	voiceless velar ejective lateral affricate consonant	sca
k	K	voiceless velar lateral affricate consonant	sca
ɰ	J	voiced velar approximant consonant	sca
ʟ	L	voiced velar lateral approximant consonant	sca
ʟ̥	L	devoiced voiced velar lateral approximant consonant	sca
ɣ	G	voiced velar fricative consonant	sca
ɣʷ	G	labialized voiced velar fricative consonant	sca
ɣ̊	G	devoiced voiced velar fricative consonant	sca
x	G	voiceless velar fricative consonant	sca
xʼ	G	voiceless velar ejective fricative consonant	sca
xʷ	G	labialized voiceless velar fricative consonant	sca
ɠ	0	voiced velar implosive consonant	sca
ŋ	N	voiced velar nasal consonant	sca
ŋː	N	long voiced velar nasal consonant	sca
ŋʷ	N	labialized voiced velar nasal consonant	sca
ŋ̍	N	syllabic voiced velar nasal consonant	sca
ŋ̊	N	devoiced voiced velar nasal consonant	sca
gʱ	K	breathy voiced velar stop consonant	sca
gʰ	K	aspirated voiced velar stop consonant	sca
g	K	voiced velar stop consonant	sca
g̊ʰ	K	aspirated devoiced voiced velar stop consonant	sca
gː	K	long voiced velar stop consonant	sca
gʷ	K	labialized voiced velar stop consonant	sca
ⁿg	K	pre-nasalized voiced velar stop consonant	sca
g̊	K	devoiced voiced velar stop consonant	sca
k	K	voiceless velar stop consonant	sca
kʰ	K	aspirated voiceless velar stop consonant	sca
kː	K	long voiceless velar stop consonant	sca
kʼ	K	voiceless velar ejective stop consonant	sca
kʷ	K	labialized voiceless velar stop consonant	sca
kʷʰ	K	labialized aspirated voiceless velar stop consonant	sca
kʷː	K	labialized long voiceless velar stop consonant	sca
kʼʷ	K	labialized voiceless velar ejective stop consonant	sca
ʰk	K	pre-aspirated voiceless velar stop consonant	sca
ⁿk	K	pre-nasalized voiceless velar stop consonant	sca
ⁿkʷ	K	pre-nasalized labialized voiceless velar stop consonant	sca
k̚	K	unreleased voiceless velar stop consonant	sca
a	A	unrounded open front vowel	sca
aː	A	long unrounded open front vowel	sca
aˑ	A	mid-long unrounded open front vowel	sca
a˞	A	rhotacized unrounded open front vowel	sca
ã	A	nasalized unrounded open front vowel	sca
ãː	A	long nasalized unrounded open front vowel	sca
ă	A	ultra-short unrounded open front vowel	sca
ḁ	A	devoiced unrounded open front vowel	sca
a̯	A	non-syllabic unrounded open front vowel	sca
a̰	A	creaky unrounded open front vowel	sca
a̰ːː	A	ultra-long creaky unrounded open front vowel	sca
e	E	unrounded close-mid front vowel	sca
eː	E	long unrounded close-mid front vowel	sca
eːː	E	ultra-long unrounded close-mid front vowel	sca
eˑ	E	mid-long unrounded close-mid front vowel	sca
ẽ	E	nasalized unrounded close-mid front vowel	sca
ẽː	E	long nasalized unrounded close-mid front vowel	sca
ĕ	E	ultra-short unrounded close-mid front vowel	sca
e̞	E	unrounded mid front vowel	sca
e̞ː	E	long unrounded mid front vowel	sca
ɑ̟	A	advanced unrounded open back vowel	sca
e̞ˑ	E	mid-long unrounded mid front vowel	sca
ẽ̞	E	nasalized unrounded mid front vowel	sca
ẽ̞ː	E	long nasalized unrounded mid front vowel	sca
e̤	E	breathy unrounded close-mid front vowel	sca
e̥	E	devoiced unrounded close-mid front vowel	sca
e̯	E	non-syllabic unrounded close-mid front vowel	sca
ḛ	E	creaky unrounded close-mid front vowel	sca
ø	U	rounded close-mid front vowel	sca
øː	U	long rounded close-mid front vowel	sca
i	I	unrounded close front vowel	sca
iː	I	long unrounded close front vowel	sca
iːː	I	ultra-long unrounded close front vowel	sca
iˑ	I	mid-long unrounded close front vowel	sca
ĩ	I	nasalized unrounded close front vowel	sca
ĩː	I	long nasalized unrounded close front vowel	sca
i̤	I	breathy unrounded close front vowel	sca
i̥	I	devoiced unrounded close front vowel	sca
ḭ	I	creaky unrounded close front vowel	sca
ḭː	I	long creaky unrounded close front vowel	sca
ḭːː	I	ultra-long creaky unrounded close front vowel	sca
y	Y	rounded close front vowel	sca
o	U	rounded close-mid back vowel	sca
oː	U	long rounded close-mid back vowel	sca
oːː	U	ultra-long rounded close-mid back vowel	sca
oˑ	U	mid-long rounded close-mid back vowel	sca
oˤ	U	pharyngealized rounded close-mid back vowel	sca
õ	U	nasalized rounded close-mid back vowel	sca
õː	U	long nasalized rounded close-mid back vowel	sca
ŏ	U	ultra-short rounded close-mid back vowel	sca
o̞	U	rounded mid back vowel	sca
o̞ː	U	long rounded mid back vowel	sca
õ̞	U	nasalized rounded mid back vowel	sca
õ̞ː	U	long nasalized rounded mid back vowel	sca
o̤	U	breathy rounded close-mid back vowel	sca
o̥	U	devoiced rounded close-mid back vowel	sca
o̯	U	non-syllabic rounded close-mid back vowel	sca
o̰	U	creaky rounded close-mid back vowel	sca
u	Y	rounded close back vowel	sca
uː	Y	long rounded close back vowel	sca
uːː	Y	ultra-long rounded close back vowel	sca
uˑ	Y	mid-long rounded close back vowel	sca
ũ	Y	nasalized rounded close back vowel	sca
ũː	Y	long nasalized rounded close back vowel	sca
ṳ	Y	breathy rounded close back vowel	sca
u̥	Y	devoiced rounded close back vowel	sca
ṵ	Y	creaky rounded close back vowel	sca
yː	Y	long rounded close front vowel	sca
yːː	Y	ultra-long rounded close front vowel	sca
yˑ	Y	mid-long rounded close front vowel	sca
ỹ	Y	nasalized rounded close front vowel	sca
ỹː	Y	long nasalized rounded close front vowel	sca
æ	E	unrounded near-open front vowel	sca
æː	E	long unrounded near-open front vowel	sca
æːː	E	ultra-long unrounded near-open front vowel	sca
æˑ	E	mid-long unrounded near-open front vowel	sca
æ̃	E	nasalized unrounded near-open front vowel	sca
æ̃ː	E	long nasalized unrounded near-open front vowel	sca
æ̰	E	creaky unrounded near-open front vowel	sca
øːː	U	ultra-long rounded close-mid front vowel	sca
øˑ	U	mid-long rounded close-mid front vowel	sca
ø̃	U	nasalized rounded close-mid front vowel	sca
ø̃ː	U	long nasalized rounded close-mid front vowel	sca
ø̞	U	rounded mid front vowel	sca
ø̞ː	U	long rounded mid front vowel	sca
ø̞̃	U	nasalized rounded mid front vowel	sca
ø̞̃ː	U	long nasalized rounded mid front vowel	sca
œ	U	rounded open-mid front vowel	sca
