ID	GRAPHEME	ALIASES	REPRESENTATION	TRANSCRIPTION_SYSTEMS	TRANSCRIPTION_DATA	SOUND_CLASSES
labialized aspirated voiceless velar stop consonant	kʷʰ	C, kwh, kʰʷ, kʷʰ, kʼw, k’w	17	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:k, color:#c89664, dolgo:K, prosody:1, sca:K
voiced alveolar nasal consonant	n	C, l, n, n/n, ɡ/n	16	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
voiceless alveolar sibilant affricate consonant	ts	C, c, ts, tˢ, t͜s, t͡s, ʦ	14	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:C, color:#c89664, dolgo:K, prosody:2, sca:C
voiced alveolar sibilant fricative consonant	z	C, z, ◌͜z	14	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:z, color:#6496c8, dolgo:S, prosody:3, sca:S
voiceless alveolar sibilant fricative consonant	s	C, s, ◌͜s	14	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:s, color:#6496c8, dolgo:S, prosody:3, sca:S
aspirated voiceless alveolar stop consonant	tʰ	C, th, tʰ, tʼ, t’	14	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
voiceless bilabial stop consonant	p	C, p, ◌͜p	14	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
voiceless uvular stop consonant	q	C, q, q͜, q͡	14	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
voiced velar stop consonant	g	C, g, k̬, ɡ	14	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:g, color:#c89664, dolgo:K, prosody:1, sca:K
voiced alveolar stop consonant	d	C, d	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
voiceless alveolar stop consonant	t	C, t	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
voiced bilabial nasal consonant	m	C, m	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:m, color:#64c896, dolgo:M, prosody:4, sca:M
voiced bilabial stop consonant	b	C, b	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:b, color:#c8c864, dolgo:P, prosody:1, sca:P
aspirated voiceless bilabial stop consonant	pʰ	C, ph, pʰ, pʼ, p’	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
voiceless glottal fricative consonant	h	C, h	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:h, color:#96c864, dolgo:H, prosody:3, sca:H
voiceless glottal stop consonant	ʔ	7, C, ʔ	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:7, color:#96c864, dolgo:H, prosody:1, sca:H
voiced labialized-velar approximant consonant	w	C, w	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:w, color:#c864c8, dolgo:W, prosody:6, sca:W
voiced labio-dental fricative consonant	v	C, v	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:v, color:#c864c8, dolgo:W, prosody:3, sca:B
voiceless labio-dental fricative consonant	f	C, f	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:f, color:#c8c864, dolgo:P, prosody:3, sca:B
voiced palatal approximant consonant	j	C, j, y	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:y, color:#64c864, dolgo:J, prosody:6, sca:J
voiced uvular stop consonant	ɢ	C, G, ɢ, ɢ͜, ɢ͡	13	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
voiceless velar fricative consonant	x	C, x	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:x, color:#c89664, dolgo:K, prosody:3, sca:G
voiced velar nasal consonant	ŋ	C, N, ŋ	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:N, color:#64c8c8, dolgo:N, prosody:4, sca:N
voiceless velar stop consonant	k	C, k	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:k, color:#c89664, dolgo:K, prosody:1, sca:K
aspirated voiceless velar stop consonant	kʰ	C, kh, kʰ, kʼ, k’	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:k, color:#c89664, dolgo:K, prosody:1, sca:K
unrounded close front vowel	i	V, i	13	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:i, color:#c86464, dolgo:V, prosody:7, sca:I
voiced alveolar lateral approximant consonant	l	C, l	12	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:l, color:#6464c8, dolgo:R, prosody:5, sca:L
voiceless alveolar lateral fricative consonant	ɬ	C, ɬ	12	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:L, color:#6464c8, dolgo:R, prosody:5, sca:L
voiceless alveolo-palatal sibilant fricative consonant	ɕ	C, ɕ, ɕ͡, ʆ	12	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:S, color:#6496c8, dolgo:S, prosody:3, sca:S
voiced glottal fricative consonant	ɦ	C, h̬, ɦ	12	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:h, color:#96c864, dolgo:H, prosody:3, sca:H
voiceless post-alveolar sibilant fricative consonant	ʃ	C, S, š, ʃ	12	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:S, color:#6496c8, dolgo:S, prosody:3, sca:S
labialized voiced velar stop consonant	gʷ	C, gw, gʷ, ɡʷ	12	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:g, color:#c89664, dolgo:K, prosody:1, sca:K
labialized voiceless velar stop consonant	kʷ	C, kw, kʷ	12	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:k, color:#c89664, dolgo:K, prosody:1, sca:K
unrounded open front vowel	a	E, V, a	12	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:a, color:#c86464, dolgo:V, prosody:7, sca:A
rounded close back vowel	u	V, u	12	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:u, color:#c86464, dolgo:V, prosody:7, sca:Y
unrounded open back vowel	ɑ	V, u, ɑ	12	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:o, color:#c86464, dolgo:V, prosody:7, sca:A
unrounded mid central vowel	ə	3, V, ə	12	asjp, bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:I, color:#c86464, dolgo:V, prosody:7, sca:E
palatalized voiced alveolar stop consonant	dʲ	C, dʲ, dʸ, ᶁ	11	bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
voiced alveolar sibilant affricate consonant	dz	C, dz, d͜z, d͡z, dᶻ, ʒ, ʣ	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:j, color:#c89664, dolgo:K, prosody:2, sca:C
voiced alveolar approximant consonant	ɹ	C, ɹ	11	bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:r, color:#6464c8, dolgo:R, prosody:5, sca:R
devoiced voiced alveolar nasal consonant	n̥	C, n̊, n̥	11	bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
labialized voiceless alveolar stop consonant	tʷ	C, tw, tʷ	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
palatalized voiceless alveolar stop consonant	tʲ	C, tʲ, tʸ	11	bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
palatalized aspirated voiceless alveolar stop consonant	tʰʲ	C, tʰʲ, tʲʰ, tʸʰ	11	bipa, gld	cv, eurasian, lapsyd, nidaba, pbase, phoible	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
voiced alveolar trill consonant	r	C, r	11	asjp, bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:r, color:#6464c8, dolgo:R, prosody:5, sca:R
voiced bilabial fricative consonant	β	C, β	11	bipa	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:b, color:#c8c864, dolgo:P, prosody:3, sca:B
labialized voiced bilabial nasal consonant	mʷ	C, mw, mʷ	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:m, color:#64c896, dolgo:M, prosody:4, sca:M
labialized voiceless bilabial stop consonant	pʷ	C, pw, pʷ	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:p, color:#c8c864, dolgo:P, prosody:1, sca:P
voiced dental fricative consonant	ð	C, ð	11	bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:8, color:#9664c8, dolgo:T, prosody:3, sca:D
voiceless dental fricative consonant	θ	8, C, θ	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:8, color:#9664c8, dolgo:T, prosody:3, sca:D
labialized voiceless glottal stop consonant	ʔʷ	7w, C, ʔʷ	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:7, color:#96c864, dolgo:H, prosody:1, sca:H
voiced palatal nasal consonant	ɲ	5, C, ñ, ɲ	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:H, color:#64c8c8, dolgo:N, prosody:4, sca:N
voiceless palatal stop consonant	c	C, T, c	11	asjp, bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:T, color:#c89664, dolgo:K, prosody:1, sca:C
voiced post-alveolar sibilant fricative consonant	ʒ	C, Z, ž, ʒ	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:Z, color:#6496c8, dolgo:S, prosody:3, sca:S
voiceless retroflex sibilant affricate consonant	ʈʂ	C, c̢, tʂ, tᶳ, ʈʂ, ʈ͡ʂ, ʈᶳ	11	bipa, gld	beijingdaxue, cv, eurasian, lapsyd, nidaba, pbase, phoible	asjp:C, color:#c89664, dolgo:K, prosody:2, sca:C
voiced retroflex sibilant fricative consonant	ʐ	C, ʐ	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:Z, color:#6496c8, dolgo:S, prosody:3, sca:S
voiceless retroflex sibilant fricative consonant	ʂ	C, ʂ	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:S, color:#6496c8, dolgo:S, prosody:3, sca:S
voiceless uvular fricative consonant	χ	C, X, ẋ, χ, ◌͡χ	11	asjp, bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:G, color:#c89664, dolgo:K, prosody:3, sca:G
aspirated voiceless uvular stop consonant	qʰ	C, qh, qʰ	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
labialized voiceless uvular stop consonant	qʷ	C, qw, qʷ	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
labialized aspirated voiceless uvular stop consonant	qʷʰ	C, qwh, qʰʷ, qʷʰ	11	asjp, bipa, gld	cv, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
labialized voiceless uvular ejective stop consonant	qʼʷ	C, qʷʼ, qʼʷ, q’ʷ	11	bipa	cv, diachronica, eurasian, lapsyd, pbase, phoible	asjp:q, color:#c89664, dolgo:K, prosody:1, sca:K
palatalized voiced velar stop consonant	gʲ	C, gʲ, gʸ, ɡʲ, ᶃ	11	bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:g, color:#c89664, dolgo:K, prosody:1, sca:K
voiced velar fricative consonant	ɣ	C, ɣ	11	bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:x, color:#c89664, dolgo:K, prosody:3, sca:G
labialized voiceless velar fricative consonant	xʷ	C, xw, xʷ	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:x, color:#c89664, dolgo:K, prosody:3, sca:G
labialized voiced velar nasal consonant	ŋʷ	C, Nw, ŋʷ	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:N, color:#64c8c8, dolgo:N, prosody:4, sca:N
devoiced voiced velar nasal consonant	ŋ̊	C, ŋ̊, ŋ̥	11	bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:N, color:#64c8c8, dolgo:N, prosody:4, sca:N
long unrounded open front vowel	aː	E*, V, aa, aː	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:a, color:#c86464, dolgo:V, prosody:7, sca:A
unrounded close-mid front vowel	e	V, e	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:e, color:#c86464, dolgo:V, prosody:7, sca:E
nasalized unrounded close-mid front vowel	ẽ	V, ẽ, ẽ	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:e, color:#c86464, dolgo:V, prosody:7, sca:E
long unrounded close front vowel	iː	V, i*, ii, iː	11	asjp, bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible	asjp:i, color:#c86464, dolgo:V, prosody:7, sca:I
rounded close front vowel	y	V, i̹, ü, y	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:i, color:#c86464, dolgo:V, prosody:7, sca:Y
rounded close-mid back vowel	o	V, o	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:o, color:#c86464, dolgo:V, prosody:7, sca:U
unrounded near-open front vowel	æ	V, ä, æ	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:E, color:#c86464, dolgo:V, prosody:7, sca:E
rounded open-mid front vowel	œ	V, ö, œ	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:E, color:#c86464, dolgo:V, prosody:7, sca:U
unrounded near-open central vowel	ɐ	V, a, ɐ	11	asjp, bipa	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:a, color:#c86464, dolgo:V, prosody:7, sca:E
rounded open back vowel	ɒ	V, ɒ	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:o, color:#c86464, dolgo:V, prosody:7, sca:O
rounded open-mid back vowel	ɔ	V, ɔ	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:o, color:#c86464, dolgo:V, prosody:7, sca:U
unrounded open-mid front vowel	ɛ	V, ɛ	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:E, color:#c86464, dolgo:V, prosody:7, sca:E
unrounded close-mid back vowel	ɤ	V, ɤ	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:o, color:#c86464, dolgo:V, prosody:7, sca:E
unrounded close back vowel	ɯ	V, ɯ	11	bipa, gld	beijingdaxue, cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:u, color:#c86464, dolgo:V, prosody:7, sca:I
palatalized voiced alveolar lateral approximant consonant	lʲ	C, lʲ, lʸ, ᶅ	10	bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:l, color:#6464c8, dolgo:R, prosody:5, sca:L
palatalized voiced alveolar nasal consonant	nʲ	C, nʲ, nʸ, ᶇ	10	bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
palatalized voiceless alveolar sibilant fricative consonant	sʲ	C, sʲ, sʸ, ᶊ	10	bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:s, color:#6496c8, dolgo:S, prosody:3, sca:S
aspirated voiceless alveolar sibilant affricate consonant	tsʰ	C, ch, cʰ, tsʰ, ts’, t͡sʰ	10	asjp, bipa, gld	beijingdaxue, cv, eurasian, lapsyd, nidaba, pbase, phoible	asjp:C, color:#c89664, dolgo:K, prosody:2, sca:C
syllabic voiced alveolar lateral approximant consonant	l̩	V, ḷ, l̩	10	bipa, gld	beijingdaxue, cv, diachronica, eurasian, nidaba, pbase, phoible, ruhlen	asjp:l, color:#6464c8, dolgo:R, prosody:5, sca:L
devoiced voiced alveolar lateral approximant consonant	l̥	C, l̥	10	bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:l, color:#6464c8, dolgo:R, prosody:5, sca:L
voiced alveolar lateral fricative consonant	ɮ	C, ɮ	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:L, color:#6464c8, dolgo:R, prosody:5, sca:L
syllabic voiced alveolar nasal consonant	n̩	C, ṇ, n̩	10	bipa, gld	beijingdaxue, cv, diachronica, eurasian, nidaba, pbase, phoible, ruhlen	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
aspirated voiced alveolar stop consonant	dʰ	C, dh, dʰ	10	asjp, bipa, gld	cv, diachronica, eurasian, multimedia, nidaba, pbase, phoible	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
labialized aspirated voiceless alveolar stop consonant	tʷʰ	C, twh, tʰʷ, tʷʰ	10	asjp, bipa, gld	cv, eurasian, nidaba, pbase, phoible	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
devoiced voiced alveolar tap consonant	ɾ	C, ɾ	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:r, color:#6464c8, dolgo:R, prosody:5, sca:R
voiced alveolo-palatal sibilant fricative consonant	ʑ	C, ʑ	10	bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:Z, color:#6496c8, dolgo:S, prosody:3, sca:S
voiced bilabial implosive consonant	ɓ	C, ɓ	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:b, color:#c8c864, dolgo:P, prosody:1, sca:P
devoiced voiced bilabial nasal consonant	m̥	C, m̥	10	bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:m, color:#64c896, dolgo:M, prosody:4, sca:M
labialized voiced bilabial stop consonant	bʷ	C, bw, bʷ	10	asjp, bipa, gld	cv, diachronica, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:b, color:#c8c864, dolgo:P, prosody:1, sca:P
voiced dental implosive consonant	ɗ	C, ɗ	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
voiced dental nasal consonant	n̪	4, C, n̪	10	asjp, bipa	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
voiced dental stop consonant	d̪	C, d̪	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:d, color:#9664c8, dolgo:T, prosody:1, sca:T
voiceless dental stop consonant	t̪	C, t̪	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
voiced labialized-palatal approximant consonant	ɥ	C, ɥ	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:y, color:#64c864, dolgo:J, prosody:6, sca:J
voiceless labio-dental affricate consonant	pf	C, pf, p͡f, pᶠ	10	bipa, gld	beijingdaxue, cv, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:p, color:#c8c864, dolgo:P, prosody:2, sca:B
voiced labio-dental approximant consonant	ʋ	C, ʋ	10	bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:w, color:#c864c8, dolgo:W, prosody:6, sca:W
voiced palatal lateral approximant consonant	ʎ	C, ʎ, λ	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:l, color:#6464c8, dolgo:R, prosody:5, sca:L
voiced palatal fricative consonant	ʝ	C, ʝ, ʝ͡	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:S, color:#6496c8, dolgo:S, prosody:3, sca:S
devoiced voiced palatal nasal consonant	ɲ̊	C, ɲ̊, ɲ̥	10	bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible	asjp:H, color:#64c8c8, dolgo:N, prosody:4, sca:N
voiceless palatal sibilant fricative consonant	ç	C, ç, ç	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:T, color:#c89664, dolgo:K, prosody:1, sca:C
voiced palatal stop consonant	ɟ	C, ɟ	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:C, color:#c89664, dolgo:K, prosody:1, sca:C
aspirated voiceless palatal stop consonant	cʰ	C, Th, cʰ	10	asjp, bipa	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:T, color:#c89664, dolgo:K, prosody:1, sca:C
voiced pharyngeal fricative consonant	ʕ	C, ʕ	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:G, color:#96c864, dolgo:H, prosody:1, sca:H
voiceless pharyngeal fricative consonant	ħ	C, ħ	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:G, color:#96c864, dolgo:H, prosody:3, sca:H
aspirated voiceless post-alveolar sibilant affricate consonant	tʃʰ	C, Ch, čʰ, tʃʰ, tʃʼ, tʃ’, t̠ʃʰ, t͡ʃʰ	10	asjp, bipa, gld	beijingdaxue, cv, eurasian, lapsyd, nidaba, pbase	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
voiced retroflex sibilant affricate consonant	ɖʐ	C, dʐ, dᶼ, ɖʐ, ɖ͡ʐ, ɖᶼ, ᶚ	10	bipa, gld	cv, eurasian, lapsyd, nidaba, pbase, phoible	asjp:j, color:#c89664, dolgo:K, prosody:2, sca:C
aspirated voiceless retroflex sibilant affricate consonant	ʈʂʰ	C, c̢ʰ, tʂʰ, tʂ’, ʈʂʰ, ʈ͡ʂʰ	10	bipa, gld	beijingdaxue, cv, eurasian, lapsyd, nidaba, pbase, phoible	asjp:C, color:#c89664, dolgo:K, prosody:2, sca:C
voiced retroflex lateral approximant consonant	ɭ	C, ɭ	10	bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:L, color:#6464c8, dolgo:R, prosody:5, sca:L
voiced retroflex nasal consonant	ɳ	C, ɳ	10	bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:n, color:#64c8c8, dolgo:N, prosody:4, sca:N
voiceless retroflex stop consonant	ʈ	C, ʈ	10	bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:t, color:#9664c8, dolgo:T, prosody:1, sca:T
voiced uvular fricative consonant	ʁ	C, ʁ	10	bipa	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible, ruhlen	asjp:G, color:#6464c8, dolgo:R, prosody:5, sca:R
voiced uvular nasal consonant	ɴ	C, ɴ	10	bipa, gld	cv, diachronica, eurasian, lapsyd, multimedia, nidaba, pbase, phoible	asjp:N, color:#64c8c8, dolgo:N, prosody:4, sca:N
palatalized voiceless velar stop consonant	kʲ	C, kʲ, kʸ, ᶄ	10	bipa, gld	cv, diachronica, eurasian, lapsyd, nidaba, pbase, phoible, ruhlen	asjp:k, color:#c89664, dolgo:K, prosody:1, sca:K
