GRAPHEME
N?
N̩
a
a+
ai
ai̯
aj
au
aɪ
aʊ
aʔ
aʔa
aː
aːː
aˤ
aˤʔ
ã
ãʔ
ãʔã
ãː
ãˤ
ă
a̝
a̝ː
a̞
a̠
a̤
a̤ʔ
a̤ˤ
ã̤
ã̤ʔ
ã̤ˤ
ḁ
a̪ː
a̰
a̰ː
b
b*
bv
bz
bɮ
bʒ
bʰ
bʲ
bʷ
bʼ
bː
bˡ
bˤ
b̀
b̂
b̏
b̥
b͡d
b͡dz
b͡dʒ
b͡tʃ
b͡ç
b͡ɗ
b͡ɡ
b͡ʝ
c
cç
cçʰ
cçʼ
cɕ
cɕʰ
cʃ
cʰ
cʷ
cʼ
cˤ
c̀ɕ
c
d
dl
dx
dz
dzx
dzɣw
dzʰ
dzʲ
dzʷ
dzʼ
dzʼkxʼ
dð
dɣw
dʐ
dʑ
dʑɥ
dʒ
dʒʰ
dʒʲ
dʒʷ
dʒ͡ɡ
dʒ͡ɣʷ
dʝ
dʰ
dʲ
dʷ
dʼ
dʼkxʼ
dːʒ
dˠ
dˤ
d̀
d̂
d̏
d̥
d̪
d̪z̪
d̪z̪ʲ
d̪z̪ʷ
d̪ð
d̪ʒ
d̪ʰ
d̪ʲ
d̪ː
d̪ˤ
d̪ˤː
d̻
d̻ʑ
d̻ʒ̻
dβ
e
ei
ej
emf
eu
eə
eɪ
eʔ
eʔe
eː
eːː
eˤ
ẽ
ẽʔẽ
ẽː
e̝
e̝ː
ẽ̝
e̞
e̤
e̤ː
ẽ̤
e̥
e̯
e̯a
e̯o
f
fʃ
fʲ
fʷ
fʼ
fː
fˡ
fˤ
h
hʲ
hʷ
hʷː
hˤ
h̃
i
ia
ie
ij
iə
iɛ
iʔ
iʔi
iː
iːː
iˤ
ĩ
ĩʔ
ĩʔĩ
ĩː
i̝
i̝ː
i̞
i̟
i̤
i̤e̤
i̤ː
i̥
i̯e
i̯o
ḭ
ḭː
i̺
j
je
jeː
jẽ
jʰ
jʷ
jʼ
jː
ĵ
j̃
j̥
k
kf
klʼ
kxʰ
kxʼ
kʰ
kʰʲ
kʰʷ
kʲ
kʷ
kʷɦ
kʷʼ
kʷː
kʼ
kʼʲ
kʼʷ
kː
kˤ
k̀
k̀ʷ
k̂
k̂͡p̂
k͡p
k͡pʲ
k͡pʷ
k
l
lǃ
lɥ
lʰ
lʲ
lʷ
lʼ
lː
lˠ
lˠʷ
lˤ
l̃
l̟
l̟ʲ
l̤
l̥
l̥ʰ
l̩
l̪
l̪ʰ
l̪ʲ
l̪ʼ
l̪ː
l̪ˤ
l̪ˤː
l̪θ
m
m&lt;
mb̥
mnl
mǀG
mǁG
mǂG
mǃG
mʘG
mʰ
mʲ
mʷ
mʼ
mː
mˠ
mˡ
mˤ
m̂
m̏
m̤
m̥
m̥ʰ
m̩
m͡ŋ
mβ
n
nd̥
nkǀ
nkǃ
nzʷ
nŋw
nǀ
nǁ
nǂ
nǃ
nɡǀ
nɡǁ
nɡǂ
nɡǃ
nʰ
nʲ
nʷ
nː
nˤ
nˤː
n̂
n̏
n̞
n̞s̞
n̟
n̟ʲ
n̤
n̥
n̥s
n̩
n̪
n̪t̪
n̪t̪ʼ
n̪z̪
n̪ʰ
n̪ʲ
n̪ʼ
n̪ː
n̻
n’
o
oi
oj
omf
ou
oə
oʊ
oʔ
oʔo
oː
oːː
oˤ
õ
õʔ
õː
õˤ
ŏ
o̝
o̝ː
õ̝
o̞
o̤
o̤ʔ
o̤ː
o̤ˤ
õ̤
õ̤ʔ
o̥
o̯
o̯a
o̯u
p
p&lt;
p*
pf
pfʰ
ps
pv
pɦ
pɸ
pʃʰ
pʃʼ
pʰ
pʰʷ
pʲ
pʲʰ
pʷ
pʷʼ
pʼ
pʼˤ
pː
pˠ
pˡ
pˤ
p̀
p͡k
p͡kʰ
p͡t
p͡ts
p
q
qɰ
qʰ
qʰʷ
qʲ
qʷ
qʷʼ
qʷː
qʼ
qʼʲ
qʼʷ
qʼˤ
qʼˤʷ
qː
qˤ
qˤʷ
qˤʼ
qχ
r
rʰ
rʲ
rʷ
rː
rˤ
rˤː
ř
r̟
r̟ʲ
r̥
r̥ʰ
r̪
r̪ʲ
r͡ɣw
s
sɥ
sʰ
sʲ
sʷ
sʼ
sː
sˠ
sˤ
s̀
š
s̞
s̪
s̪v
s̪ʲ
s̪ʼ
s̪ː
s̪ˤ
s̪ˤː
s̻
s̻ˤ
s͡kʷ
t
tl
tlʰ
tlʼ
tr
ts
tsjʰ
tswʰ
tsx
tsʰ
tsʰʷ
tsʲ
tsʷ
tsʼ
tsʼkxʼ
tsʼʷ
ts̀
ts͡kʷ
tx
tz
tzʼ
tç
tçʰ
tɕ
tɕɥ
tɕʰ
tɦ
tɬ
tɬʰ
tɬʼ
tɸʰ
tʂ
tʂʼ
tʃ
tʃɦ
tʃʰ
tʃʰʷ
tʃʲ
tʃʷ
tʃʷʼ
tʃʼ
tʃˤ
tʃ̀
tʃ͡k
tʃ͡kʷ
tʰ
tʰʷ
tʲ
tʲʰ
tʲʼ
tʷ
tʼ
tʼkxʼ
tʼʷ
tː
tːʃ
tːʃː
tˠ
tˤ
t̀
t̂
t̪
t̪s̪
t̪s̪ɦ
t̪s̪ʰ
t̪s̪ʰʷ
t̪s̪ʼ
t̪s̪ː
t̪ʃ
t̪ʰ
t̪ʲ
t̪ʷ
t̪ʼ
t̪ː
t̪ˤ
t̪ˤː
t̪̀
t̪͡c
t̪͡k
t̪θ
t̪ⁿ
t̺s̺ʲ
t̻s̻
t̻ɕ
t̻ɕʰ
t̻ɕʼ
t̻ʃ̻
tθ
tθʼ
tⁿ
u
ui
uj
uo
uw
uɔ
uə
uʔ
uʔu
uː
uːː
uˤ
uˤʔ
ũ
ũʔ
ũʔũ
ũː
ũˤ
u̝
u̝ː
u̞
ṳ
ṳo̤
ṳʔ
ṳː
ṳˤ
ṳ̃
u̥
u̯o
ṵ
ṵː
v
vɾ
vʰ
vʲ
vʷ
vˡ
vˤ
ṽʲ
v̌
v̤
v̥
w
w*
wɦ
wʰ
wʲ
wʼ
wː
wˤ
w̃
x
xʰ
xʲ
xʷ
xʼ
xː
x̀
x̀ʷ
y
yi
yː
ỹ
z
zʲ
zʷ
zʷ͡ɣw
zʼ
zˤ
z̤
z̪
z̪v
z̪ʲ
z̪ː
z̪ˤ
z̪ˤː
z̻
z̻ˤ
z͡ɣw
æ
æː
æ̃
æ̞
ç
çʷ
ð
ðʲ
ðˠ
ðˤ
ø
øə
øː
ø̆
ħ
ħʷ
ŋ
ŋkxʼ
ŋɡ̥
ŋʰ
ŋʷ
ŋʼ
ŋː
ŋ̥
ŋ̥ʰ
ŋ͡m
ŋ͡mʲ
œ
œi
œu
œː
œ̃
ǀ
ǀkxʔ
ǀn
ǀn̥
ǀq
ǀqʔ
ǀqʰ
ǀs
ǀx
ǀʔ
ǀʰ
ǁ
ǁkxʔ
ǁn
ǁn̥
ǁq
ǁqʔ
ǁqʰ
ǁx
ǁʔ
ǁʰ
ǂ
ǂkxʔ
ǂn
ǂn̥
ǂq
ǂqʔ
ǂqʰ
ǂx
ǂʔ
ǂʰ
ǃ
ǃd
ǃkxʔ
ǃn
ǃn̥
ǃq
ǃqʔ
ǃqʰ
ǃr
ǃs
ǃt
ǃx
ǃz
ǃʃ
ǃʒ
ǃʔ
ǃʰ
ɐ
ɐː
ɑ
ɑː
ɑ̃
ɒ
ɒː
ɓ
ɓʷ
ɓ̥
ɓ̥ˠ
ɔ
ɔi
ɔi̯
ɔj
ɔʔ
ɔː
ɔ̃
ɔ̃ʔ
ɔ̃ː
ɔ̘
ɔ̝
ɔ̝ː
ɔ̥
ɕ
ɕɥ
ɕʰ
ɖ
ɖɽ
ɖʐ
ɖʰ
ɖʲ
ɖ˞
ɗ
ɗʒ
ɗʷ
ɗ̪
ə
əe
əi
əo
əu
əː
ə˞
əˤ
ə̃
ə̃ː
ə̆
ə̝
ə̟
ə̯i
ɛ
ɛi̯
ɛʔ
ɛː
ɛ̃
ɛ̃ʔ
ɛ̃ː
ɛ̘
ɛ̞
ɛ̥
ɜ
ɜː
ɟ
ɟʑ
ɟʝ
ɟʰ
ɟʷ
ɟ̥
ɠ
ɠʲ
ɠʷ
ɠ̥
ɠ͡ɓ
ɡ
ɡkx’
ɡǀ
ɡǀkx
ɡǀx
ɡǀʰ
ɡǁ
ɡǁkx
ɡǁx
ɡǁʰ
ɡǂ
ɡǂkx
ɡǂx
ɡǂʰ
ɡǃ
ɡǃkx
ɡǃx
ɡǃʰ
ɡʘ
ɡʘkx
ɡʘx
ɡʘʰ
ɡʰ
ɡʲ
ɡʷ
ɡʷː
ɡː
ɡˤ
ɡ̂
ɡ̂͡b̂
ɡ̥
ɡ͡b
ɡ͡bʲ
ɡ͡bʷ
ɡ͡p
ɡ͡ɓ
ɢ
ɢˤ
ɣ
ɣʰ
ɣʲ
ɣʷ
ɣʼ
ɣ̀
ɤ
ɤː
ɥ
ɥ̥
ɦ
ɦʲ
ɦʷ
ɦ̃
ɨ
ɨʔɨ
ɨː
ɨːː
ɨ˞
ɨ̃
ɨ̃ʔɨ̃
ɨ̃ː
ɨ̞
ɪ
ɪɛ
ɪː
ɪ̃
ɪ̃ː
ɪ̘
ɪ̥
ɬ
ɬʷ
ɬʼ
ɬ̀
ɭ
ɮ
ɯ
ɯə
ɯː
ɯ̃
ɰ
ɰʼ
ɱ̥f
ɲ
ɲɥ
ɲʰ
ɲː
ɲ̥
ɲ̥cʃ
ɲ̥ʃ
ɲ̥ʰ
ɲ͡n̪
ɲ͡ŋ
ɲ͡ŋw
ɳ
ɳɖɽ
ɳʷ
ɴ
ɴʼ
ɵ
ɸ
ɹ
ɹː
ɺ
