CLTS_NAME	BIPA_GRAPHEME	ID	GRAPHEME	FEATURES
voiced dental nasal consonant	n̪	5806	n̪	pulmonic nasal voiced dental
from voiced bilabial nasal to aspirated voiceless bilabial stop cluster	mpʰ	5807	mpʰ	pulmonic stop prenasalized aspirated voiceless bilabial
from voiced bilabial nasal to voiceless bilabial stop cluster	mp	5808	mp	pulmonic stop prenasalized voiceless bilabial
aspirated voiceless velar stop consonant	kʰ	5809	kʰ	pulmonic stop aspirated voiceless velar
devoiced voiced dental nasal consonant	n̪̥	5811	n̪̥	pulmonic nasal voiceless dental
devoiced voiced bilabial nasal consonant	m̥	5812	m̥	pulmonic nasal voiceless bilabial
devoiced voiced alveolar lateral approximant consonant	l̥	5813	l̥	pulmonic approximant lateral voiceless alveolar
aspirated voiceless uvular stop consonant	qʰ	5814	qʰ	pulmonic stop aspirated voiceless uvular
from voiced velar nasal to aspirated voiceless velar stop cluster	ŋkʰ	5816	ŋkʰ	pulmonic stop prenasalized aspirated voiceless velar
from voiced velar nasal to voiceless velar stop cluster	ŋk	5817	ŋk	pulmonic stop prenasalized voiceless velar
from voiced dental nasal to aspirated voiceless dental stop cluster	n̪t̪ʰ	5818	n̪t̪ʰ	pulmonic stop prenasalized aspirated voiceless dental alveolar
from voiced dental nasal to voiceless dental sibilant affricate cluster	n̪ts̪	5819	n̪t̪s̪	pulmonic affricate sibilant prenasalized voiceless alveolar
from voiced dental nasal to aspirated voiceless dental affricate cluster	n̪ts̪ʰ	5820	n̪t̪s̪ʰ	pulmonic affricate sibilant prenasalized aspirated voiceless alveolar
aspirated voiceless bilabial stop consonant	pʰ	5823	pʰ	pulmonic stop aspirated voiceless bilabial
voiceless dental sibilant fricative consonant	s̪	5824	s̪	pulmonic fricative sibilant voiceless dental
voiceless retroflex sibilant affricate consonant	ʈʂ	5825	ʈʂ	pulmonic affricate sibilant voiceless retroflex
aspirated voiceless dental stop consonant	t̪ʰ	5828	t̪ʰ	pulmonic stop aspirated voiceless dental
voiceless dental sibilant affricate consonant	ts̪	5829	t̪s̪	pulmonic affricate sibilant voiceless dental
aspirated voiceless dental affricate consonant	ts̪ʰ	5830	t̪s̪ʰ	pulmonic affricate sibilant aspirated voiceless dental
aspirated voiceless post-alveolar sibilant affricate consonant	tʃʰ	5832	t̠ʃʰ	pulmonic affricate sibilant aspirated voiceless palato-alveolar
nasalized unrounded close-mid front vowel	ẽ	5869	ẽ	nasalized higher mid front unrounded
nasalized unrounded open front vowel	ã	5870	ã	nasalized low central unrounded
nasalized rounded open-mid back vowel	ɔ̃	5871	ɔ̃	nasalized lower mid back rounded
nasalized unrounded open-mid front vowel	ɛ̃	5872	ɛ̃	nasalized lower mid front unrounded
nasalized unrounded mid central vowel	ə̃	5873	ə̃	nasalized higher mid central unrounded
nasalized unrounded close front vowel	ĩ	5874	ĩ	nasalized high front unrounded
nasalized rounded close-mid back vowel	õ	5875	õ	nasalized higher mid back rounded
nasalized rounded close back vowel	ũ	5876	ũ	nasalized high back rounded
from voiced palatal stop to voiced alveolo-palatal sibilant fricative cluster	ɟʑ	5877	ɟʑ	pulmonic affricate voiced palatalized palato-alveolar
voiced dental stop consonant	d̪	5878	d̪	pulmonic stop voiced dental
from voiceless palatal stop to voiceless alveolo-palatal sibilant fricative cluster	cɕ	5879	cɕ	pulmonic affricate voiceless palatalized palato-alveolar
voiced glottal fricative consonant	ɦ	59	ɦ	pulmonic fricative voiced glottal
palatalized aspirated voiceless dental stop consonant	t̪ʲʰ	5901	t̪ʲʰ	pulmonic stop aspirated voiceless palatalized dental
lowered nasalized unrounded close central vowel	ɨ̞̃	5903	ɨ̞̃	nasalized high lowered high central unrounded
creaky voiced alveolar approximant consonant	ɹ̰	5919	ɹ̰	pulmonic approximant voiced laryngealized alveolar
from unrounded open-mid front to rounded close central diphthong	ɛʉ	5921	ɛʉ	diphtong high lower mid front central unrounded rounded rising backing rounding
from voiced uvular nasal to voiceless uvular stop cluster	ɴq	5922	ɴq	pulmonic stop prenasalized voiceless uvular
from voiced uvular nasal to aspirated voiceless uvular stop cluster	ɴqʰ	5923	ɴqʰ	pulmonic stop prenasalized aspirated voiceless uvular
labialized voiceless dental stop consonant	t̪ʷ	5926	t̪ʷ	pulmonic stop voiceless labialized dental
labialized aspirated voiceless dental stop consonant	t̪ʷʰ	5927	t̪ʷʰ	pulmonic stop aspirated voiceless labialized dental
palatalized aspirated voiceless alveolar stop consonant	tʲʰ	5928	tʲʰ	pulmonic stop aspirated voiceless palatalized alveolar
glottalized voiced labialized-velar approximant consonant	wˀ	5929	wˀ	pulmonic approximant voiced laryngealized bilabial velar
glottalized voiced palatal approximant consonant	jˀ	5930	jˀ	pulmonic approximant voiced laryngealized palatal
glottalized voiced bilabial nasal consonant	mˀ	5934	mˀ	pulmonic nasal voiced laryngealized bilabial
nasalized voiced glottal fricative consonant	ɦ̃	5936	ɦ̃	pulmonic fricative nasalized voiced glottal
creaky voiced retroflex stop consonant	ɖ̰	5942	ɖ̰	pulmonic stop voiced laryngealized retroflex
creaky voiced velar stop consonant	g̰	5943	ɡ̰	pulmonic stop voiced laryngealized velar
labialized creaky voiced velar stop consonant	g̰ʷ	5944	ɡ̰ʷ	pulmonic stop voiced laryngealized labialized velar
labialized devoiced voiced bilabial nasal consonant	m̥ʷ	5946	m̥ʷ	pulmonic nasal voiceless labialized bilabial
from unrounded close front to unrounded close-mid back diphthong	iɤ	5947	iɤ	diphtong high higher mid front back unrounded lowering backing
velarized voiced alveolar nasal consonant	nˠ	5950	nˠ	pulmonic nasal voiced velarized alveolar
velarized voiced alveolar trill consonant	rˠ	5951	rˠ	pulmonic trill voiced velarized alveolar
nasalized unrounded close-mid back vowel	ɤ̃	5952	ɤ̃	nasalized higher mid back unrounded
from unrounded close-mid front to rounded near-close near-back diphthong	eʊ	5954	eʊ	diphtong lowered high higher mid front back unrounded rounded rising backing rounding
palatalized creaky voiced alveolar nasal consonant	n̰ʲ	5957	n̰ʲ	pulmonic nasal voiced laryngealized palatalized alveolar
pharyngealized voiced bilabial stop consonant	bˤ	5958	bˤ	pulmonic stop voiced pharyngealized  bilabial
pharyngealized voiceless labio-dental fricative consonant	fˤ	5959	fˤ	pulmonic fricative voiceless pharyngealized  labio-dental
pharyngealized voiced bilabial nasal consonant	mˤ	5960	mˤ	pulmonic nasal voiced pharyngealized  bilabial
palatalized voiceless dental sibilant affricate consonant	ts̪ʲ	5961	t̪s̪ʲ	pulmonic affricate sibilant voiceless palatalized dental alveolar
palatalized voiced dental sibilant affricate consonant	dz̪ʲ	5962	d̪z̪ʲ	pulmonic affricate sibilant voiced palatalized dental alveolar
palatalized voiced labio-dental approximant consonant	ʋʲ	5965	ʋʲ	pulmonic approximant voiced palatalized labio-dental
velarized voiceless post-alveolar sibilant fricative consonant	ʃˠ	5966	ʃˠ	pulmonic fricative sibilant voiceless velarized palato-alveolar
velarized voiced post-alveolar sibilant fricative consonant	ʒˠ	5967	ʒˠ	pulmonic fricative sibilant voiced velarized palato-alveolar
palatalized voiceless post-alveolar sibilant fricative consonant	ʃʲ	5968	ʃʲ	pulmonic fricative sibilant voiceless palatalized palato-alveolar
palatalized voiced glottal fricative consonant	ɦʲ	5972	ɦʲ	pulmonic fricative voiced palatalized glottal
voiced epiglottal fricative consonant	ʢ	5973	ʢ	pulmonic fricative voiced epiglottal
glottalized unrounded close front vowel	iˀ	5980	iˀ	laryngealized high front unrounded
glottalized nasalized unrounded close front vowel	ĩˀ	5981	ĩˀ	nasalized laryngealized high front unrounded
glottalized unrounded close-mid front vowel	eˀ	5982	eˀ	laryngealized higher mid front unrounded
glottalized nasalized unrounded close-mid front vowel	ẽˀ	5983	ẽˀ	nasalized laryngealized higher mid front unrounded
glottalized unrounded open front vowel	aˀ	5984	aˀ	laryngealized low central unrounded
glottalized nasalized unrounded open front vowel	ãˀ	5985	ãˀ	nasalized laryngealized low central unrounded
glottalized rounded close-mid back vowel	oˀ	5986	oˀ	laryngealized higher mid back rounded
glottalized nasalized rounded close-mid back vowel	õˀ	5987	õˀ	nasalized laryngealized higher mid back rounded
from voiced bilabial nasal to palatalized voiced bilabial fricative cluster	mβʲ	5988	mβʲ	pulmonic fricative prenasalized voiced palatalized bilabial
palatalized aspirated voiceless alveolar stop consonant	tʰʲ	5989	tʰʲ	pulmonic stop aspirated voiceless palatalized alveolar
glottalized voiced alveolar nasal consonant	nˀ	5990	nˀ	pulmonic nasal voiced laryngealized alveolar
glottalized voiced palatal nasal consonant	ɲˀ	5991	ɲˀ	pulmonic nasal voiced laryngealized palatal
glottalized voiced velar nasal consonant	ŋˀ	5992	ŋˀ	pulmonic nasal voiced laryngealized velar
nasalized voiced velar approximant consonant	ɰ̃	5994	ɰ̃	pulmonic approximant nasalized voiced velar
from rounded close-mid back to rounded close central diphthong	oʉ	5995	oʉ	diphtong high higher mid central back rounded rising fronting
creaky rounded close front vowel	y̰	5997	y̰	laryngealized high front rounded
creaky unrounded close back vowel	ɯ̰	5998	ɯ̰	laryngealized high back unrounded
creaky unrounded open back vowel	ɑ̰	5999	ɑ̰	laryngealized low back unrounded
voiced alveolar stop consonant	d	6	d	pulmonic stop voiced alveolar
voiceless epiglottal fricative consonant	ʜ	60	ʜ	pulmonic fricative voiceless epiglottal
creaky rounded close-mid front vowel	ø̰	6000	ø̰	laryngealized higher mid front rounded
pre-aspirated voiceless uvular stop consonant	ʰq	6005	ʰq	pulmonic stop pre-aspirated voiceless uvular
from pre-aspirated voiceless alveolar stop to voiceless alveolar sibilant fricative cluster	ʰts	6006	ʰts	pulmonic affricate sibilant pre-aspirated voiceless alveolar
pre-aspirated labialized voiceless velar stop consonant	ʰkʷ	6007	ʰkʷ	pulmonic stop pre-aspirated voiceless labialized velar
pharyngealized voiced alveolar trill consonant	rˤ	6010	rˤ	pulmonic trill voiced pharyngealized  alveolar
breathy voiced post-alveolar sibilant affricate consonant	dʒʱ	6011	d̠ʒ̤	pulmonic affricate sibilant voiced breathy voiced palato-alveolar retracted
long rounded close-mid central vowel	ɵː	6013	ɵː	long higher mid central rounded
long retracted rounded close back vowel	u̠ː	6014	uː̠	long high back rounded retracted
pharyngealized unrounded open back vowel	ɑˤ	6017	ɑˤ	pharyngealized  low back unrounded
labialized aspirated voiceless velar stop consonant	kʷʰ	6018	kʰʷ	pulmonic stop aspirated voiceless labialized velar
voiceless palatal ejective affricate consonant	cç’	6031	cçʼ	ejective affricate palatal
labialized aspirated voiceless bilabial stop consonant	pʷʰ	6047	pʰʷ	pulmonic stop aspirated voiceless labialized bilabial
voiceless dental fricative consonant	θ	61	θ	pulmonic fricative voiceless dental
voiced dental fricative consonant	ð	62	ð	pulmonic fricative voiced dental
voiced labio-dental approximant consonant	ʋ	65	ʋ	pulmonic approximant voiced labio-dental
voiced alveolar approximant consonant	ɹ	66	ɹ	pulmonic approximant voiced alveolar
voiced retroflex approximant consonant	ɻ	67	ɻ	pulmonic approximant voiced retroflex
voiced palatal approximant consonant	j	68	j	pulmonic approximant voiced palatal
voiced velar approximant consonant	ɰ	69	ɰ	pulmonic approximant voiced velar
voiceless retroflex stop consonant	ʈ	7	ʈ	pulmonic stop voiceless retroflex
voiced labialized-velar approximant consonant	w	70	w	pulmonic approximant voiced bilabial velar
voiceless labialized-velar approximant consonant	ʍ	71	ʍ	pulmonic approximant voiceless bilabial velar
voiced labialized-palatal approximant consonant	ɥ	72	ɥ	pulmonic approximant voiced bilabial palatal
voiceless alveolar sibilant fricative consonant	s	77	s	pulmonic fricative sibilant voiceless alveolar
voiced alveolar sibilant fricative consonant	z	78	z	pulmonic fricative sibilant voiced alveolar
voiceless post-alveolar sibilant fricative consonant	ʃ	79	ʃ	pulmonic fricative sibilant voiceless palato-alveolar
voiced retroflex stop consonant	ɖ	8	ɖ	pulmonic stop voiced retroflex
voiced post-alveolar sibilant fricative consonant	ʒ	80	ʒ	pulmonic fricative sibilant voiced palato-alveolar
voiceless retroflex sibilant fricative consonant	ʂ	81	ʂ	pulmonic fricative sibilant voiceless retroflex
voiced retroflex sibilant fricative consonant	ʐ	82	ʐ	pulmonic fricative sibilant voiced retroflex
voiceless alveolo-palatal sibilant fricative consonant	ɕ	83	ɕ	pulmonic fricative sibilant voiceless palatalized palato-alveolar
voiced alveolo-palatal sibilant fricative consonant	ʑ	84	ʑ	pulmonic fricative sibilant voiced palatalized palato-alveolar
voiceless alveolar lateral fricative consonant	ɬ	87	ɬ	pulmonic fricative lateral voiceless alveolar
voiced alveolar lateral fricative consonant	ɮ	88	ɮ	pulmonic fricative lateral voiced alveolar
voiceless dental lateral fricative consonant	ɬ̪	89	ɬ̪	pulmonic fricative lateral voiceless dental
voiceless palatal stop consonant	c	9	c	pulmonic stop voiceless palatal
voiced alveolar lateral approximant consonant	l	95	l	pulmonic approximant lateral voiced alveolar
voiced retroflex lateral approximant consonant	ɭ	97	ɭ	pulmonic approximant lateral voiced retroflex
voiced palatal lateral approximant consonant	ʎ	99	ʎ	pulmonic approximant lateral voiced palatal
