CLTS_NAME	BIPA_GRAPHEME	ID	GRAPHEME	FEATURES
from voiceless alveolar stop to palatalized voiceless bilabial stop cluster	tpʲ	2187	tpʲ	pulmonic stop voiceless palatalized bilabial alveolar
from voiceless post-alveolar stop to voiceless bilabial stop cluster	t̠p	2188	t̠p	pulmonic stop voiceless bilabial retracted
lowered unrounded close central vowel	ɨ̞	219	ɨ̞	lowered high central unrounded
palatalized labialized voiced bilabial nasal consonant	mʲʷ	2196	mʷʲ	pulmonic nasal voiced labialized palatalized bilabial
palatalized voiceless glottal fricative consonant	hʲ	2199	hʲ	pulmonic fricative voiceless palatalized glottal
nasalized voiced labio-dental fricative consonant	ṽ	2213	ṽ	pulmonic fricative nasalized voiced labio-dental
from voiced bilabial nasal to voiced bilabial affricate cluster	mbβ	2222	mbβ	pulmonic affricate prenasalized voiced bilabial
from voiced alveolar nasal to voiceless alveolar sibilant fricative cluster	ns	2223	ns	pulmonic fricative sibilant prenasalized voiceless alveolar
labialized voiced bilabial fricative consonant	βʷ	2224	βʷ	pulmonic fricative voiced labialized bilabial
palatalized voiced uvular trill consonant	ʀʲ	2228	ʀʲ	pulmonic trill voiced palatalized uvular
palatalized voiced labialized-velar approximant consonant	wʲ	2229	wʲ	pulmonic approximant voiced palatalized bilabial velar
pharyngealized voiced alveolar lateral approximant consonant	lˤ	2230	lˤ	pulmonic approximant lateral voiced pharyngealized  alveolar
pharyngealized voiced alveolar stop consonant	dˤ	2231	dˤ	pulmonic stop voiced pharyngealized  alveolar
pharyngealized voiceless alveolar stop consonant	tˤ	2232	tˤ	pulmonic stop voiceless pharyngealized  alveolar
long voiced retroflex stop consonant	ɖː	2233	ɖː	pulmonic stop voiced long retroflex
nasalized voiced labialized-velar approximant consonant	w̃	2235	w̃	pulmonic approximant nasalized voiced bilabial velar
palatalized voiced velar nasal consonant	ŋʲ	2251	ŋʲ	pulmonic nasal voiced palatalized velar
from voiced retroflex nasal to voiceless retroflex stop cluster	ɳʈ	2252	ɳʈ	pulmonic stop prenasalized voiceless retroflex
from voiced velar nasal to palatalized voiceless velar stop cluster	ŋkʲ	2253	ŋkʲ	pulmonic stop prenasalized voiceless palatalized velar
palatalized voiced alveolar lateral tap consonant	ɺʲ	2274	ɺʲ	pulmonic tap/flap lateral palatalized alveolar
pharyngealized voiceless post-alveolar sibilant fricative consonant	ʃˤ	2279	ʃˤ	pulmonic fricative sibilant voiceless pharyngealized  palato-alveolar
pharyngealized voiced post-alveolar sibilant fricative consonant	ʒˤ	2281	ʒˤ	pulmonic fricative sibilant voiced pharyngealized  palato-alveolar
voiced post-alveolar stop consonant	d̠	23	d̠	pulmonic stop voiced palato-alveolar
ultra-short unrounded mid central vowel	ə̆	2321	ə̆	overshort higher mid central unrounded
from unrounded close front to rounded close back diphthong	iu	2378	iu	diphtong high front back unrounded rounded backing rounding
from unrounded close central to unrounded close front diphthong	ɨi	2379	ɨi	diphtong high front central unrounded fronting
from unrounded close-mid front to unrounded close front diphthong	ei	2381	ei	diphtong high higher mid front unrounded rising
from rounded close back to unrounded close front diphthong	ui	2384	ui	diphtong high front back unrounded rounded fronting unrounding
creaky voiced dental nasal consonant	n̪̰	2398	n̪̰	pulmonic nasal voiced laryngealized dental
from nasalized unrounded close-mid front to nasalized unrounded close front diphthong	ẽĩ	2434	ẽĩ	nasalized diphtong high higher mid front unrounded rising
from nasalized rounded close-mid back to nasalized rounded close back diphthong	õũ	2435	õũ	nasalized diphtong high higher mid back rounded rising
voiced labio-dental nasal consonant	ɱ	25	ɱ	pulmonic nasal voiced labio-dental
long rounded near-close near-back vowel	ʊː	2601	ʊː	long lowered high back rounded
from voiced labio-dental nasal to voiced labio-dental fricative cluster	ɱv	2640	ɱv	pulmonic fricative prenasalized voiced labio-dental
voiced alveolar nasal consonant	n	27	n	pulmonic nasal voiced alveolar
from voiceless velar stop to voiceless bilabial stop cluster	kp	2750	kp	pulmonic stop voiceless bilabial velar
from unrounded close back to unrounded close front diphthong	ɯi	2755	ɯi	diphtong high front back unrounded fronting
creaky voiceless dental stop consonant	t̪̰	2764	t̪̰	pulmonic stop voiceless laryngealized dental
long voiceless labio-dental fricative consonant	fː	2789	fː	pulmonic fricative voiceless long labio-dental
long voiceless dental lateral fricative consonant	ɬ̪ː	2790	ɬ̪ː	pulmonic fricative lateral voiceless long dental
from unrounded close front to unrounded close-mid front diphthong	ie	2877	ie	diphtong high higher mid front unrounded lowering
voiced uvular approximant consonant	ʁ̞	2884	ʁ̞	pulmonic approximant voiced uvular
voiced retroflex nasal consonant	ɳ	29	ɳ	pulmonic nasal voiced retroflex
palatalized voiced alveolar stop consonant	dʲ	2960	dʲ	pulmonic stop voiced palatalized alveolar
voiced bilabial stop consonant	b	3	b	pulmonic stop voiced bilabial
long voiceless uvular fricative consonant	χː	3026	χː	pulmonic fricative voiceless long uvular
labialized voiceless post-alveolar sibilant fricative consonant	ʃʷ	3028	ʃʷ	pulmonic fricative sibilant voiceless labialized palato-alveolar
labialized voiced uvular stop consonant	ɢʷ	3030	ɢʷ	pulmonic stop voiced labialized uvular
labialized aspirated voiceless alveolar sibilant affricate consonant	tsʷʰ	3031	tsʷʰ	pulmonic affricate sibilant aspirated voiceless labialized alveolar
long voiceless post-alveolar sibilant affricate consonant	tːʃ	3049	t̠ʃː	pulmonic affricate sibilant voiceless long palato-alveolar
long voiceless velar fricative consonant	xː	3056	xː	pulmonic fricative voiceless long velar
ultra-short unrounded close front vowel	ĭ	3075	ĭ	overshort high front unrounded
ultra-short unrounded open front vowel	ă	3076	ă	overshort low central unrounded
ultra-short rounded close back vowel	ŭ	3077	ŭ	overshort high back rounded
palatalized voiced bilabial stop consonant	bʲ	3078	bʲ	pulmonic stop voiced palatalized bilabial
palatalized voiced alveolar lateral approximant consonant	lʲ	3083	lʲ	pulmonic approximant lateral voiced palatalized alveolar
palatalized voiced bilabial nasal consonant	mʲ	3084	mʲ	pulmonic nasal voiced palatalized bilabial
