CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	IMAGE	SOUND	FEATURES
nasalized unrounded close-mid front vowel	ẽ	ẽ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-424.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/nasalized_close-mid_front_unrounded.mp3	nasalized close-mid front unrounded vowel
less-rounded rounded open-mid back vowel	ɔ̜	ɔ̜	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-306-412.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/less-rounded_open-mid_back_rounded .mp3	a less rounded open-mid back rounded vowel
palatalized voiceless alveolar stop consonant	tʲ	tʲ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-103-421.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/palatalized_VL_alveolar plosive.mp3	a palatalized voiceless alveolar plosive
palatalized voiced alveolar stop consonant	dʲ	dʲ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104-421.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/palatalized_V_alveolar plosive.mp3	a palatalized voiced alveolar plosive
with-nasal-release voiced alveolar stop consonant	dⁿ	dⁿ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104-425.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/nasal-release_V_alveolar_plosive.mp3	a nasal released voiced alveolar plosive
advanced rounded close back vowel	u̟	u̟	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-308-413.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/advanced_close_back_rounded.mp3	an advanced close back rounded vowel
velarized voiceless alveolar stop consonant	tˠ	tˠ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-103-422.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/velarized_VL_alveolar_plosive.mp3	a velarized voiceless alveolar plosive
velarized voiced alveolar stop consonant	dˠ	dˠ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104-422.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/velarized_V_alveolar_plosive.mp3	a velarized voiced alveolar plosive
with-lateral-release voiced alveolar stop consonant	dˡ	dˡ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104-426.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/lateral-release_V_alveolar_plosive.mp3	a laterally released voiced alveolar plosive
retracted unrounded close-mid front vowel	e̠	e̠	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-414.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/retracted_close-mid_front_unrounded.mp3	a retracted close-mid front unrounded vowel
pharyngealized voiceless alveolar stop consonant	tˤ	tˤ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-103-423.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/pharyngealized_VL_alveolar_plosive.mp3	a pharyngealized voiceless alveolar plosive
pharyngealized voiced alveolar stop consonant	dˤ	dˤ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104-423.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/pharyngealized_V_alveolar_plosive.mp3	a pharyngealized voiced alveolar plosive
unreleased voiced alveolar stop consonant	d̚	d̚	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-104-427.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/no-audible-release_V_alveolar_plosive.mp3	a voiced alveolar plosive with no audible release
raised unrounded close-mid front vowel	e̝	e̝	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-429.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/raised_close-mid_front_unrounded.mp3	a raised close-mid front unrounded vowel'
unrounded mid front vowel	e̞	e̞	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-430.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/lowered_close-mid_front_unrounded.mp3	a lowered close-mid front unrounded vowel'
voiced bilabial approximant consonant	β̞	β̞	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-127-430.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/lowered_V_bilabial_approximant.mp3	a lowered bilabial approximant'
non-syllabic unrounded close-mid front vowel	e̯	e̯	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-432.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/non-syllabic_close-mid_front_unrounded.mp3	a non-syllabic close-mid front unrounded vowel'
advanced-tongue-root unrounded close-mid front vowel	e̘	e̘	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-417.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/advanced-tongue-root_close-mid_front_unrounded.mp3	an advanced tongue root close-mid front unrounded vowel'
rhotacized unrounded mid central vowel	ə˞	ɚ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-327.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/rhotic_mid_central.mp3	rhotic mid central vowel
retracted-tongue-root unrounded close-mid front vowel	e̙	e̙	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-418.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/retracted-tongue-root_close-mid_front_unrounded.mp3	a retracted tongue root close-mid front unrounded vowel'
unrounded close-mid front with_extra-high_tone vowel	e̋	e̋	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-512.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/extra-high-tone_close-mid_front_unrounded.mp3	an extra-high tome close-mid front unrounded vowel
unrounded close-mid front with_rising_tone vowel	ě	ě	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-524.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/rising-contour_close-mid_front_unrounded.mp3	a rising contour close-mid front unrounded vowel
unrounded close-mid front with_high_tone vowel	é	é	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-513.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/high-tone_close-mid_front_unrounded.mp3	a high-tone close-mid front unrounded vowel
unrounded close-mid front with_falling_tone vowel	ê	ê	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-525.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/falling-contour_close-mid_front_unrounded.mp3	a falling contour close-mid front unrounded vowel
unrounded close-mid front with_mid_tone vowel	ē	ē	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-514.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/mid-tone_close-mid_front_unrounded.mp3	a mid-tone close-mid front unrounded vowel
unrounded close-mid front with_low_tone vowel	è	è	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-515.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/low-tone_close-mid_front_unrounded.mp3	a low-tone close-mid front unrounded vowel
unrounded close-mid front with_extra_low_tone vowel	ȅ	ȅ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-302-516.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/extra-low-tone_close-mid_front_unrounded.mp3	an extra-low tone close-mid front unrounded vowel
