CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	IMAGE	SOUND	FEATURES
voiced uvular trill consonant	ʀ	ʀ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-123.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_uvular_trill.mp3	a voiced uvular trill
voiced labio-dental tap consonant	ⱱ	ⱱ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-184.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_labialdental_flap.mp3	a voiced labialdental flap
devoiced voiced alveolar tap consonant	ɾ	ɾ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-124.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_alveolar_tap.mp3	a voiced alveolar tap
voiced retroflex tap consonant	ɽ	ɽ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-125.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_retroflex_tap.mp3	a voiced retroflex tap
voiced labio-dental nasal consonant	ɱ	ɱ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-126.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_bilabial_fricative.mp3	a voiceless bilabial fricative
voiced bilabial fricative consonant	β	β	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-127.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_bilabial_fricative.mp3	a voiced bilabial fricative
voiceless labio-dental fricative consonant	f	f	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-128.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_labiodental_fricative.mp3	a voiced labiodental fricative
voiced labio-dental fricative consonant	v	v	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-129.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_labiodental_fricative.mp3	a voiced labiodental fricative
voiceless dental fricative consonant	θ	θ	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-130.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/VL_dental_fricative.mp3	a voiceless dental fricative
voiced dental fricative consonant	ð	ð	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/images/IPA-131.gif	http://web.uvic.ca/ling/resources/ipa/charts/IPAlab/IPAsounds/V_dental_fricative.mp3	a voiced dental fricative
