CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	LATEX	FEATURES
palatalized aspirated voiced retroflex stop consonant	ɖʲʰ	ɖʰʲ	\textrtaild extsuperscript{h}\super j	plosive::retroflex, palatal::+voice +spread glottis
palatalized aspirated voiced retroflex nasal consonant	ɳʲʰ	ɳʰʲ	\:n extsuperscript{h}\super j	nasal::retroflex, palatal::+voice +nasal +spread glottis
palatalized aspirated voiceless palatal stop consonant	cʲʰ	cʰʲ	c extsuperscript{h}\super j	plosive::palatal::−voice +spread glottis
palatalized aspirated voiced palatal stop consonant	ɟʲʰ	ɟʰʲ	\textbardotlessj extsuperscript{h}\super j	plosive::palatal::+voice +spread glottis
palatalized aspirated voiced palatal nasal consonant	ɲʲʰ	ɲʰʲ	\textltailn extsuperscript{h}\super j	nasal::palatal::+voice +nasal +spread glottis
palatalized aspirated voiceless velar stop consonant	kʲʰ	kʰʲ	k extsuperscript{h}\super j	plosive::velar, palatal::−voice +spread glottis
palatalized aspirated voiced velar stop consonant	gʲʰ	ɡʰʲ	ɡ extsuperscript{h}\super j	plosive::velar, palatal::+voice +spread glottis
palatalized aspirated voiced velar implosive consonant	ɠʲʰ	ɠʰʲ	\texthtg extsuperscript{h}\super j	plosive::velar, palatal::+voice +spread glottis
palatalized aspirated voiced velar nasal consonant	ŋʲʰ	ŋʰʲ	\textipa{N} extsuperscript{h}\super j	nasal::velar, palatal::+voice +nasal +spread glottis
palatalized aspirated voiceless uvular stop consonant	qʲʰ	qʰʲ	q extsuperscript{h}\super j	plosive::uvular, palatal::−voice +spread glottis
palatalized aspirated voiced uvular stop consonant	ɢʲʰ	ɢʰʲ	\textscg extsuperscript{h}\super j	plosive::uvular, palatal::+voice +spread glottis
palatalized aspirated voiced uvular implosive consonant	ʛʲʰ	ʛʰʲ	\texthtscg extsuperscript{h}\super j	plosive::uvular, palatal::+voice +spread glottis
palatalized aspirated voiced uvular nasal consonant	ɴʲʰ	ɴʰʲ	\textscn extsuperscript{h}\super j	nasal::uvular, palatal::+voice +nasal +spread glottis
palatalized aspirated voiceless glottal stop consonant	ʔʲʰ	ʔʰʲ	\textglotstop extsuperscript{h}\super j	plosive::glottal, palatal::−voice +spread glottis
palatalized aspirated devoiced voiced bilabial nasal consonant	m̥ʲʰ	m̥ʰʲ	*m extsuperscript{h}\super j	nasal::labial, palatal::−voice +nasal +spread glottis
palatalized aspirated devoiced voiced labio-dental nasal consonant	ɱ̥ʲʰ	ɱ̥ʰʲ	*\textltailm extsuperscript{h}\super j	nasal::labiodental, palatal::−voice +nasal +spread glottis
