CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	LATEX	FEATURES
unrounded open front vowel	a	a	a	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
unrounded near-open central vowel	ɐ	ɐ	\textturna	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
unrounded open back vowel	ɑ	ɑ	\textscripta	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
rounded open back vowel	ɒ	ɒ	\textturnscripta	vowel::empty::−high +low +back +round +voice −nasal −spread glottis −constricted glottis
rounded open-mid back vowel	ɔ	ɔ	\textopeno	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
unrounded close-mid front vowel	e	e	e	vowel::empty::−high −low −back −round +voice −nasal −spread glottis −constricted glottis
unrounded open-mid front vowel	ɛ	ɛ	\textipa{E}	vowel::empty::−high −low −back −round +voice −nasal −spread glottis −constricted glottis
unrounded mid central vowel	ə	ə	\textschwa	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
rhotacized unrounded mid central vowel	ə˞	ɚ	\textrhookschwa	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
unrounded close-mid central vowel	ɘ	ɘ	\textreve	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
unrounded open-mid central vowel	ɜ	ɜ	\textipa{3}	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
rounded open-mid central vowel	ɞ	ɞ	\textcloseepsilon	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
unrounded close-mid back vowel	ɤ	ɤ	\textipa{7}	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
unrounded close front vowel	i	i	i	vowel::empty::+high −low −back −round +voice −nasal −spread glottis −constricted glottis
unrounded near-close near-front vowel	ɪ	ɪ	\textipa{I}	vowel::empty::+high −low −back −round +voice −nasal −spread glottis −constricted glottis
unrounded close central vowel	ɨ	ɨ	\textbari	vowel::empty::+high −low +back −round +voice −nasal −spread glottis −constricted glottis
unrounded close back vowel	ɯ	ɯ	\textturnm	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
rounded close-mid back vowel	o	o	o	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
rounded close-mid central vowel	ɵ	ɵ	\textbaro	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
rounded close-mid front vowel	ø	ø	\o	vowel::empty::−high −low −back +round +voice −nasal −spread glottis −constricted glottis
rounded open front vowel	ɶ	ɶ	\textscoelig	vowel::empty::−high +low −back +round +voice −nasal −spread glottis −constricted glottis
rounded open-mid front vowel	œ	œ	\oe	vowel::empty::−high −low −back +round +voice −nasal −spread glottis −constricted glottis
rounded close back vowel	u	u	u	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
rounded close central vowel	ʉ	ʉ	\textbaru	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
rounded near-close near-back vowel	ʊ	ʊ	\textupsilon	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
unrounded open-mid back vowel	ʌ	ʌ	\textturnv	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
rounded close front vowel	y	y	y	vowel::empty::+high −low −back +round +voice −nasal −spread glottis −constricted glottis
rounded near-close near-front vowel	ʏ	ʏ	\textipa{Y}	vowel::empty::+high −low −back +round +voice −nasal −spread glottis −constricted glottis
unrounded near-open front vowel	æ	æ	\ae	vowel::empty::−high +low −back −round +voice −nasal −spread glottis −constricted glottis
voiceless bilabial stop consonant	p	p	p	plosive::labial::−voice
voiced bilabial stop consonant	b	b	b	plosive::labial::+voice
voiced bilabial implosive consonant	ɓ	ɓ	\texthtb	plosive::labial::+voice
voiceless bilabial fricative consonant	ɸ	ɸ	\textipa{F}	fricative::labial::−voice
voiced bilabial fricative consonant	β	β	\textipa{B}	fricative::labial::+voice
voiceless bilabial affricate consonant	pɸ	p͡ɸ	\t{p͡\textipa{F}}	affricate::labial::−voice
voiced bilabial affricate consonant	bβ	b͡β	\t{b͡\textipa{B}}	affricate::labial::+voice
voiced bilabial trill consonant	ʙ	ʙ	\textscb	liquid::labial::+voice −lateral
voiced bilabial nasal consonant	m	m	m	nasal::labial::+voice +nasal
voiceless labio-dental fricative consonant	f	f	f	fricative::labiodental::−voice
voiced labio-dental fricative consonant	v	v	v	fricative::labiodental::+voice
voiceless labio-dental affricate consonant	pf	p͡f	\t{pf}	affricate::labiodental::−voice
voiced labio-dental affricate consonant	bv	b͡v	\t{b͡v}	affricate::labiodental::+voice
voiced labio-dental approximant consonant	ʋ	ʋ	\textscriptv	liquid::labiodental::+voice −lateral
voiced labio-dental nasal consonant	ɱ	ɱ	\textltailm	nasal::labiodental::+voice +nasal
voiceless dental stop consonant	t̪	t̪	\textsubbridge{t}	plosive::dental::−voice
voiced dental stop consonant	d̪	d̪	\textsubbridge{d}	plosive::dental::+voice
voiced dental implosive consonant	ɗ	ɗ	\texthtd	plosive::dental::+voice
voiced post-alveolar stop consonant	d̠	d̠	\textsubbar{d}	plosive::dental::+voice
voiceless dental fricative consonant	θ	θ	\textipa{T}	fricative::dental::−voice
voiced dental fricative consonant	ð	ð	\textipa{D}	fricative::dental::+voice
voiced alveolar sibilant affricate consonant	dz	d͡z	\t{dz}	affricate::dental::+voice
voiceless dental lateral fricative consonant	ɬ̪	ɬ̪	\textsubbridge{\textbeltl}	fricative::dental::+voice +lateral
voiced dental lateral approximant consonant	l̪	l̪	\textsubbridge{l}	liquid::dental::+voice +lateral
voiced dental trill consonant	r̪	r̪	\textsubbridge{r}	liquid::dental::+voice −lateral
voiced dental nasal consonant	n̪	n̪	\textsubbridge{n}	nasal::dental::+voice +nasal
voiceless alveolar stop consonant	t	t	t	plosive::alveolar::−voice
voiceless post-alveolar stop consonant	t̠	t̠	\textsubbar{t}	plosive::alveolar::−voice
voiced alveolar stop consonant	d	d	d	plosive::alveolar::+voice
voiceless alveolar sibilant fricative consonant	s	s	s	fricative::alveolar::−voice
voiced alveolar sibilant fricative consonant	z	z	z	fricative::alveolar::+voice
voiceless alveolar sibilant affricate consonant	ts	t͡s	\t{ts}	affricate::alveolar::−voice
voiced alveolar lateral affricate consonant	dɮ	d͡ɮ	\t{d͡\textlyoghlig}	affricate::alveolar::+voice +lateral
voiceless alveolar lateral affricate consonant	tɬ	t͡ɬ	\t{t͡\textbeltl}	affricate::alveolar::+voice +lateral
voiceless alveolar lateral fricative consonant	ɬ	ɬ	\textbeltl	fricative::alveolar::+voice +lateral
voiced alveolar lateral fricative consonant	ɮ	ɮ	\textlyoghlig	fricative::alveolar::+voice +lateral
voiced alveolar trill consonant	r	r	r	liquid::alveolar::+voice −lateral
voiced alveolar lateral tap consonant	ɺ	ɺ	\textturnlonglegr	liquid::alveolar::+voice +lateral
devoiced voiced alveolar tap consonant	ɾ	ɾ	\textfishhookr	liquid::alveolar::+voice −lateral
voiced alveolar approximant consonant	ɹ	ɹ	\textturnr	liquid::alveolar::+voice −lateral
voiced post-alveolar approximant consonant	ɹ̠	ɹ̠	\textsubbar{\textturnr}	liquid::alveolar::+voice −lateral
voiced alveolar lateral approximant consonant	l	l	l	liquid::alveolar::+voice +lateral
voiced post-alveolar lateral approximant consonant	l̠	l̠	\textsubbar{l}	liquid::alveolar::+voice +lateral
voiced alveolar nasal consonant	n	n	n	nasal::alveolar::+voice +nasal
voiceless post-alveolar sibilant fricative consonant	ʃ	ʃ	\textipa{S}	fricative::palatoalveolar::−voice
voiced post-alveolar sibilant fricative consonant	ʒ	ʒ	\textyogh	fricative::palatoalveolar::+voice
voiceless post-alveolar sibilant affricate consonant	tʃ	t͡ʃ	\t{t͡\textipa{S}}	affricate::palatoalveolar::−voice
voiced post-alveolar sibilant affricate consonant	dʒ	d͡ʒ	\t{d͡\textyogh}	affricate::palatoalveolar::+voice
voiceless retroflex stop consonant	ʈ	ʈ	\textrtailt	plosive::retroflex::−voice
voiced retroflex stop consonant	ɖ	ɖ	\textrtaild	plosive::retroflex::+voice
voiceless retroflex sibilant fricative consonant	ʂ	ʂ	\textrtails	fricative::retroflex::−voice
voiced retroflex sibilant fricative consonant	ʐ	ʐ	\textrtailz	fricative::retroflex::+voice
voiceless retroflex sibilant affricate consonant	ʈʂ	ʈ͡ʂ	\t{\textrtailt \textrtails}	affricate::retroflex::−voice
voiced retroflex sibilant affricate consonant	ɖʐ	ɖ͡ʐ	\t{ɖ͡\textrtailz}	affricate::retroflex::+voice
voiced retroflex tap consonant	ɽ	ɽ	\textrtailr	liquid::retroflex::+voice −lateral
voiced retroflex approximant consonant	ɻ	ɻ	\textturnrrtail	liquid::retroflex::+voice −lateral
voiced retroflex lateral approximant consonant	ɭ	ɭ	\textturny	liquid::retroflex::+voice +lateral
voiced retroflex nasal consonant	ɳ	ɳ	\:n	nasal::retroflex::+voice +nasal
voiced palatal approximant consonant	j	j	j	glide::palatal::+voice
voiceless palatal stop consonant	c	c	c	plosive::palatal::−voice
voiced palatal stop consonant	ɟ	ɟ	\textbardotlessj	plosive::palatal::+voice
voiceless palatal affricate consonant	cç	c͡ç	\t{c\c{c}}	affricate::palatal::−voice
voiced palatal affricate consonant	ɟʝ	ɟ͡ʝ	\t{ɟ͡\textctj}	affricate::palatal::+voice
voiceless palatal sibilant fricative consonant	ç	ç	\c{c}	fricative::palatal::−voice
voiced palatal fricative consonant	ʝ	ʝ	\textctj	fricative::palatal::+voice
voiced palatal lateral approximant consonant	ʎ	ʎ	\begin{IPA} +\;G \end{IPA}	liquid::palatal::+voice +lateral
voiced palatal nasal consonant	ɲ	ɲ	\textltailn	nasal::palatal::+voice +nasal
voiced velar approximant consonant	ɰ	ɰ	\textturnmrleg	glide::velar::+voice
voiceless velar stop consonant	k	k	k	plosive::velar::−voice
voiced velar stop consonant	g	ɡ	ɡ	plosive::velar::+voice
voiced velar implosive consonant	ɠ	ɠ	\texthtg	plosive::velar::+voice
voiceless velar fricative consonant	x	x	x	fricative::velar::−voice
voiced velar fricative consonant	ɣ	ɣ	\textipa{G}	fricative::velar::+voice
voiced velar affricate consonant	gɣ	ɡ͡ɣ	\t{ɡ͡\textipa{G}}	affricate::velar::+voice
voiceless velar affricate consonant	kx	k͡x	\t{kx}	affricate::velar::−voice
voiced velar lateral approximant consonant	ʟ	ʟ	\textscl	liquid::velar::+voice +lateral
voiced velar nasal consonant	ŋ	ŋ	\textipa{N}	nasal::velar::+voice +nasal
voiceless uvular stop consonant	q	q	q	plosive::uvular::−voice
voiced uvular stop consonant	ɢ	ɢ	\textscg	plosive::uvular::+voice
voiced uvular implosive consonant	ʛ	ʛ	\texthtscg	plosive::uvular::+voice
voiced uvular affricate consonant	ɢʁ	ɢ͡ʁ	\t{\textscg \textipa{K}}	affricate::uvular::+voice
voiceless uvular fricative consonant	χ	χ	\textchi	fricative::uvular::−voice
voiced uvular fricative consonant	ʁ	ʁ	\textipa{K}	fricative::uvular::+voice
voiceless uvular affricate consonant	qχ	q͡χ	\t{q͡\textchi}	affricate::uvular::−voice
voiced uvular trill consonant	ʀ	ʀ	\textscr	liquid::uvular::+voice −lateral
voiced uvular nasal consonant	ɴ	ɴ	\textscn	nasal::uvular::+voice +nasal
voiced pharyngeal fricative consonant	ʕ	ʕ	\textrevglotstop	fricative::pharyngeal::+voice
voiceless pharyngeal fricative consonant	ħ	ħ	\textcrh	fricative::pharyngeal::−voice
voiceless glottal stop consonant	ʔ	ʔ	\textglotstop	plosive::glottal::−voice
voiceless glottal fricative consonant	h	h	h	fricative::glottal::−voice
voiced glottal fricative consonant	ɦ	ɦ	\texthth	fricative::glottal::+voice
non-syllabic unrounded open front vowel	a̯	a̯	\textroundcap{a}	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded near-open central vowel	ɐ̯	ɐ̯	\textroundcap{\textturna}	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded open back vowel	ɑ̯	ɑ̯	\textroundcap{\textscripta}	vowel::empty::−high +low +back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded open back vowel	ɒ̯	ɒ̯	\textroundcap{\textturnscripta}	vowel::empty::−high +low +back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded open-mid back vowel	ɔ̯	ɔ̯	\textroundcap{\textopeno}	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded close-mid front vowel	e̯	e̯	\textroundcap{e}	vowel::empty::−high −low −back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded open-mid front vowel	ɛ̯	ɛ̯	\textroundcap{\textipa{E}}	vowel::empty::−high −low −back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded mid central vowel	ə̯	ə̯	\textroundcap{\textschwa}	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
rhotacized non-syllabic unrounded mid central vowel	ə̯˞	ɚ̯	\textroundcap{\textrhookschwa}	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded close-mid central vowel	ɘ̯	ɘ̯	\textroundcap{\textreve}	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded open-mid central vowel	ɜ̯	ɜ̯	\textroundcap{\textipa{3}}	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded open-mid central vowel	ɞ̯	ɞ̯	\textroundcap{\textcloseepsilon}	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded close-mid back vowel	ɤ̯	ɤ̯	\textroundcap{\textipa{7}}	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded close front vowel	i̯	i̯	\textroundcap{i}	vowel::empty::+high −low −back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded near-close near-front vowel	ɪ̯	ɪ̯	\textroundcap{\textipa{I}}	vowel::empty::+high −low −back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded close central vowel	ɨ̯	ɨ̯	\textroundcap{\textbari}	vowel::empty::+high −low +back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded close back vowel	ɯ̯	ɯ̯	\textroundcap{\textturnm}	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded close-mid back vowel	o̯	o̯	\textroundcap{o}	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded close-mid central vowel	ɵ̯	ɵ̯	\textroundcap{\textbaro}	vowel::empty::−high −low +back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded close-mid front vowel	ø̯	ø̯	\textroundcap{\o}	vowel::empty::−high −low −back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded open front vowel	ɶ̯	ɶ̯	\textroundcap{\textscoelig}	vowel::empty::−high +low −back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded open-mid front vowel	œ̯	œ̯	\textroundcap{\oe}	vowel::empty::−high −low −back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded close back vowel	u̯	u̯	\textroundcap{u}	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded close central vowel	ʉ̯	ʉ̯	\textroundcap{\textbaru}	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded near-close near-back vowel	ʊ̯	ʊ̯	\textroundcap{\textupsilon}	vowel::empty::+high −low +back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded open-mid back vowel	ʌ̯	ʌ̯	\textroundcap{\textturnv}	vowel::empty::−high −low +back −round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded close front vowel	y̯	y̯	\textroundcap{y}	vowel::empty::+high −low −back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic rounded near-close near-front vowel	ʏ̯	ʏ̯	\textroundcap{\textipa{Y}}	vowel::empty::+high −low −back +round +voice −nasal −spread glottis −constricted glottis
non-syllabic unrounded near-open front vowel	æ̯	æ̯	\textroundcap{\ae}	vowel::empty::−high +low −back −round +voice −nasal −spread glottis −constricted glottis
nasalized unrounded open front vowel	ã	ã	\textipa{\~a}	vowel::empty::−high +low +back −round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded near-open central vowel	ɐ̃	ɐ̃	\textipa{\~\textturna}	vowel::empty::−high +low +back −round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded open back vowel	ɑ̃	ɑ̃	\textipa{\~\textscripta}	vowel::empty::−high +low +back −round +voice +nasal −spread glottis −constricted glottis
nasalized rounded open back vowel	ɒ̃	ɒ̃	\textipa{\~\textturnscripta}	vowel::empty::−high +low +back +round +voice +nasal −spread glottis −constricted glottis
nasalized rounded open-mid back vowel	ɔ̃	ɔ̃	\textipa{\~\textopeno}	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded close-mid front vowel	ẽ	ẽ	\textipa{\~e}	vowel::empty::−high −low −back −round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded open-mid front vowel	ɛ̃	ɛ̃	\textipa{\~\textipa{E}}	vowel::empty::−high −low −back −round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded mid central vowel	ə̃	ə̃	\textipa{\~\textschwa}	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
rhotacized nasalized unrounded mid central vowel	ə̃˞	ɚ̃	\textipa{\~\textrhookschwa}	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded close-mid central vowel	ɘ̃	ɘ̃	\textipa{\~\textreve}	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded open-mid central vowel	ɜ̃	ɜ̃	\textipa{\~\textipa{3}}	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
nasalized rounded open-mid central vowel	ɞ̃	ɞ̃	\textipa{\~\textcloseepsilon}	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded close-mid back vowel	ɤ̃	ɤ̃	\textipa{\~\textipa{7}}	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded close front vowel	ĩ	ĩ	\textipa{\~i}	vowel::empty::+high −low −back −round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded near-close near-front vowel	ɪ̃	ɪ̃	\textipa{\~\textipa{I}}	vowel::empty::+high −low −back −round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded close central vowel	ɨ̃	ɨ̃	\textipa{\~\textbari}	vowel::empty::+high −low +back −round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded close back vowel	ɯ̃	ɯ̃	\textipa{\~\textturnm}	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
nasalized rounded close-mid back vowel	õ	õ	\textipa{\~o}	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
nasalized rounded close-mid central vowel	ɵ̃	ɵ̃	\textipa{\~\textbaro}	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
nasalized rounded close-mid front vowel	ø̃	ø̃	\textipa{\~\o}	vowel::empty::−high −low −back +round +voice +nasal −spread glottis −constricted glottis
nasalized rounded open front vowel	ɶ̃	ɶ̃	\textipa{\~\textscoelig}	vowel::empty::−high +low −back +round +voice +nasal −spread glottis −constricted glottis
nasalized rounded open-mid front vowel	œ̃	œ̃	\textipa{\~\oe}	vowel::empty::−high −low −back +round +voice +nasal −spread glottis −constricted glottis
nasalized rounded close back vowel	ũ	ũ	\textipa{\~u}	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
nasalized rounded close central vowel	ʉ̃	ʉ̃	\textipa{\~\textbaru}	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
nasalized rounded near-close near-back vowel	ʊ̃	ʊ̃	\textipa{\~\textupsilon}	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded open-mid back vowel	ʌ̃	ʌ̃	\textipa{\~\textturnv}	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
nasalized rounded close front vowel	ỹ	ỹ	\textipa{\~y}	vowel::empty::+high −low −back +round +voice +nasal −spread glottis −constricted glottis
nasalized rounded near-close near-front vowel	ʏ̃	ʏ̃	\textipa{\~\textipa{Y}}	vowel::empty::+high −low −back +round +voice +nasal −spread glottis −constricted glottis
nasalized unrounded near-open front vowel	æ̃	æ̃	\textipa{\~\ae}	vowel::empty::−high +low −back −round +voice +nasal −spread glottis −constricted glottis
nasalized voiced palatal approximant consonant	j̃	j̃	\textipa{\~j}	glide::palatal::+voice +nasal
nasalized voiced velar approximant consonant	ɰ̃	ɰ̃	\textipa{\~\textturnmrleg}	glide::velar::+voice +nasal
non-syllabic nasalized unrounded open front vowel	ã̯	ã̯	\textipa{\~\textroundcap{a}}	vowel::empty::−high +low +back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded near-open central vowel	ɐ̯̃	ɐ̯̃	\textipa{\~\textroundcap{\textturna}}	vowel::empty::−high +low +back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded open back vowel	ɑ̯̃	ɑ̯̃	\textipa{\~\textroundcap{\textscripta}}	vowel::empty::−high +low +back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded open back vowel	ɒ̯̃	ɒ̯̃	\textipa{\~\textroundcap{\textturnscripta}}	vowel::empty::−high +low +back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded open-mid back vowel	ɔ̯̃	ɔ̯̃	\textipa{\~\textroundcap{\textopeno}}	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded close-mid front vowel	ẽ̯	ẽ̯	\textipa{\~\textroundcap{e}}	vowel::empty::−high −low −back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded open-mid front vowel	ɛ̯̃	ɛ̯̃	\textipa{\~\textroundcap{\textipa{E}}}	vowel::empty::−high −low −back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded mid central vowel	ə̯̃	ə̯̃	\textipa{\~\textroundcap{\textschwa}}	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
rhotacized non-syllabic nasalized unrounded mid central vowel	ə̯̃˞	ɚ̯̃	\textipa{\~\textroundcap{\textrhookschwa}}	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded close-mid central vowel	ɘ̯̃	ɘ̯̃	\textipa{\~\textroundcap{\textreve}}	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded open-mid central vowel	ɜ̯̃	ɜ̯̃	\textipa{\~\textroundcap{\textipa{3}}}	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded open-mid central vowel	ɞ̯̃	ɞ̯̃	\textipa{\~\textroundcap{\textcloseepsilon}}	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded close-mid back vowel	ɤ̯̃	ɤ̯̃	\textipa{\~\textroundcap{\textipa{7}}}	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded close front vowel	ĩ̯	ĩ̯	\textipa{\~\textroundcap{i}}	vowel::empty::+high −low −back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded near-close near-front vowel	ɪ̯̃	ɪ̯̃	\textipa{\~\textroundcap{\textipa{I}}}	vowel::empty::+high −low −back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded close central vowel	ɨ̯̃	ɨ̯̃	\textipa{\~\textroundcap{\textbari}}	vowel::empty::+high −low +back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded close back vowel	ɯ̯̃	ɯ̯̃	\textipa{\~\textroundcap{\textturnm}}	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded close-mid back vowel	õ̯	õ̯	\textipa{\~\textroundcap{o}}	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded close-mid central vowel	ɵ̯̃	ɵ̯̃	\textipa{\~\textroundcap{\textbaro}}	vowel::empty::−high −low +back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded close-mid front vowel	ø̯̃	ø̯̃	\textipa{\~\textroundcap{\o}}	vowel::empty::−high −low −back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded open front vowel	ɶ̯̃	ɶ̯̃	\textipa{\~\textroundcap{\textscoelig}}	vowel::empty::−high +low −back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded open-mid front vowel	œ̯̃	œ̯̃	\textipa{\~\textroundcap{\oe}}	vowel::empty::−high −low −back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded close back vowel	ũ̯	ũ̯	\textipa{\~\textroundcap{u}}	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded close central vowel	ʉ̯̃	ʉ̯̃	\textipa{\~\textroundcap{\textbaru}}	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded near-close near-back vowel	ʊ̯̃	ʊ̯̃	\textipa{\~\textroundcap{\textupsilon}}	vowel::empty::+high −low +back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded open-mid back vowel	ʌ̯̃	ʌ̯̃	\textipa{\~\textroundcap{\textturnv}}	vowel::empty::−high −low +back −round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded close front vowel	ỹ̯	ỹ̯	\textipa{\~\textroundcap{y}}	vowel::empty::+high −low −back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized rounded near-close near-front vowel	ʏ̯̃	ʏ̯̃	\textipa{\~\textroundcap{\textipa{Y}}}	vowel::empty::+high −low −back +round +voice +nasal −spread glottis −constricted glottis
non-syllabic nasalized unrounded near-open front vowel	æ̯̃	æ̯̃	\textipa{\~\textroundcap{\ae}}	vowel::empty::−high +low −back −round +voice +nasal −spread glottis −constricted glottis
devoiced unrounded open front vowel	ḁ	ḁ	*a	vowel::empty::−high +low +back −round −voice −nasal −spread glottis −constricted glottis
devoiced unrounded near-open central vowel	ɐ̥	ɐ̥	*\textturna	vowel::empty::−high +low +back −round −voice −nasal −spread glottis −constricted glottis
devoiced unrounded open back vowel	ɑ̥	ɑ̥	*\textscripta	vowel::empty::−high +low +back −round −voice −nasal −spread glottis −constricted glottis
devoiced rounded open back vowel	ɒ̥	ɒ̥	*\textturnscripta	vowel::empty::−high +low +back +round −voice −nasal −spread glottis −constricted glottis
devoiced rounded open-mid back vowel	ɔ̥	ɔ̥	*\textopeno	vowel::empty::−high −low +back +round −voice −nasal −spread glottis −constricted glottis
devoiced unrounded close-mid front vowel	e̥	e̥	*e	vowel::empty::−high −low −back −round −voice −nasal −spread glottis −constricted glottis
devoiced unrounded open-mid front vowel	ɛ̥	ɛ̥	*\textipa{E}	vowel::empty::−high −low −back −round −voice −nasal −spread glottis −constricted glottis
devoiced unrounded mid central vowel	ə̥	ə̥	*\textschwa	vowel::empty::−high −low +back −round −voice −nasal −spread glottis −constricted glottis
rhotacized devoiced unrounded mid central vowel	ə̥˞	ɚ̥	*\textrhookschwa	vowel::empty::−high −low +back −round −voice −nasal −spread glottis −constricted glottis
