CLTS_NAME	BIPA_GRAPHEME	PHOIBLE_ID	PHOIBLE_GRAPHEME
voiceless dental sibilant-fricative consonant	<?>	BF4C7446654F9DDE2B7CA86A93FC8D29	s̪
nasalized rounded open-mid back vowel	ɔ̃	E8929F8B062DC2469EEDA96A98BD8D3A	ɔ̃
voiceless uvular stop consonant	q	4AC7382217172B3821AE54CD38BD8698	q
voiceless velar ejective stop consonant	kʼ	B9C749831BC59B5585B5AE2159F32788	kʼ
voiceless retroflex stop consonant	ʈ	64EABC4FDF5DE0BE02E889701FD34147	ʈ
labialized voiced velar stop consonant	gʷ	B95529318452F7E00AE69C18EBE1E0F2	ɡʷ
voiced retroflex stop consonant	ɖ	BE81A18FCCFFEDC9ACF3B18F14E766BD	ɖ
aspirated voiceless dental stop consonant	t̪ʰ	9EEEF6860B6442352B674A227C68B124	t̪ʰ
aspirated voiceless postalveolar affricate consonant	t̠ʃʰ	9C6117430968F42700ACD02E4E7442F7	t̠ʃʰ
voiceless alveolar ejective stop consonant	tʼ	11D5EDE5CF43EE6FA131900D77195344	tʼ
falling mid-high mid-low tone	⁴²	D90087B832A91083C733048A0EA8614B	˦˨
voiceless bilabial fricative consonant	ɸ	E9F92ED438311DEF47430F2DC3038C22	ɸ
unrounded nearly-open front vowel	æ	B6D180EA250E6FBDE82C3D1F1BB4A39C	æ
voiceless bilabial ejective stop consonant	pʼ	646674CE0AF099A6E69FB25363B53313	pʼ
unrounded close back vowel	ɯ	A61CD1A0C549D454DFFCEB62F61318E5	ɯ
nasalized unrounded close central vowel	ɨ̃	EDBF780C3E6B55C0D3F719E059C630B0	ɨ̃
voiceless uvular fricative consonant	χ	24934115EB451EB20C91AC9D2AD62537	χ
unrounded open back vowel	ɑ	F55CF3619FAF770147652F0FDB9F146F	ɑ
voiceless retroflex sibilant-fricative consonant	ʂ	9B4FF3CA9C2C2CC0884F937ECD88C04D	ʂ
rising mid-low mid-high tone	²⁴	22EED960380C45E1FAF421D98727ABF2	˨˦
voiced retroflex flap consonant	ɽ	ECADEF8DC1141DC0002DA207736CC234	ɽ
voiced retroflex nasal consonant	ɳ	6838968A8DAA29313F3FD0EF4CE0AF3C	ɳ
voiceless palatal affricate consonant	cç	8AD5C612764E127E084477DD1C52B817	cç
voiceless alveolar lateral-fricative consonant	ɬ	1F0C89A7E99CD5113AA994AD2CC86CBC	ɬ
labialized voiced velar nasal consonant	ŋʷ	3ED3C12693EEA6DCD866F8DBD9C6CF1D	ŋʷ
voiceless palatal sibilant-fricative consonant	ç	A933E2A015DCF1AB1B946DBA04C1958C	ç
voiced palatal affricate consonant	ɟʝ	F326C3A9DEC331359D3C189A02B5F7E5	ɟʝ
unrounded open-mid back vowel	ʌ	18DCAF1C4880F45D5B402E7D776A91D0	ʌ
long unrounded mid central vowel	əː	ED921AC9F6C2ABBAC1602F39891DADCF	əː
voiced retroflex lateral-approximant consonant	ɭ	512D7E3344FCD21B1EE47971D72DB39A	ɭ
voiced dental fricative consonant	ð	C74BECEC6C9DBC95D2C92E893F72A8AD	ð
voiceless alveolar ejective sibilant-affricate consonant	tsʼ	BAC70456E8C04CEFDCAC8240DAFE192F	tsʼ
aspirated voiceless alveolar sibilant-affricate consonant	tsʰ	C6880E4D32532681166EBA4D7D3AA2E0	tsʰ
nasalized unrounded near-close near-front vowel	ɪ̃	6CA1A9CAC4D088F2CB53987315A2D8BF	ɪ̃
voiceless dental fricative consonant	θ	7D184A6DCDA3EB154F9CB34651E02EEE	θ
rounded close front vowel	y	27E498422242BAF54775C75A8C884CF7	y
nasalized rounded near-close near-back vowel	ʊ̃	6841B71E9462950C2BADD3C7301D7092	ʊ̃
palatalized voiceless velar stop consonant	kʲ	96CDC886AA21A9599A0AC4EFFCDCA13F	kʲ
voiced dental sibilant-fricative consonant	z̪	88C287E17AC15E89E601F9D81D0374B5	z̪
voiced glottal fricative consonant	ɦ	010B4A2C6472D9909A0AE8C30FA45593	ɦ
long voiced bilabial nasal consonant	mː	30165CD7CBD456AD23965FFF9324A6E9	mː
long rounded near-close near-back vowel	ʊː	83B243EB1B575E55E12B60AE84F2C166	ʊː
long nasalized rounded close back vowel	ũː	BAC1076952BFA8DB102EB8888621C1B6	ũː
aspirated voiceless retroflex stop consonant	ʈʰ	4364823B8F03525E91440277AEC22689	ʈʰ
long nasalized unrounded close front vowel	ĩː	70B73BACB06AB6CCEBE6E6710EBB7BE6	ĩː
long voiced alveolar nasal consonant	nː	0A6EAA5C52B5FA8BF685047F7CE47780	nː
long unrounded near-close near-front vowel	ɪː	DABE61684BBEAC7732AD8B3A97CF8701	ɪː
nasalized unrounded mid central vowel	ə̃	1709B3BEA8703B449759CCDB8CB0DE22	ə̃
voiceless dental sibilant-affricate consonant	t̪s̪	5D948F2472DF73583FDD0CCC30D60915	t̪s̪
long unrounded close central vowel	ɨː	EA4BE781596BA71D03B0E14F300A1669	ɨː
labialized voiceless velar fricative consonant	xʷ	CC1E157E56BC1B4B281FF3ACD292F7DF	xʷ
voiced dental trill consonant	r̪	C425D93352850DE1476444DA0C387C7F	r̪
nasalized rounded mid back vowel	õ̞	38C66BF218C24DA30D3C74A7BEC9BD2B	õ̞
short high tone	⁵	D3A6D5034FDDD41CEFDAD55B7780D218	˥
long voiceless velar stop consonant	kː	35B6E18B055F7621FA32D24600C7EDC6	kː
labialized voiceless glottal fricative consonant	hʷ	4E454EFC24409956D610FB858C201318	hʷ
voiceless uvular ejective stop consonant	qʼ	F004A6DF8DC34AB3759000D0EEA099AC	qʼ
voiced uvular fricative consonant	ʁ	B8654231A8D23801B38D10EE554ACBD5	ʁ
long voiced alveolar lateral-approximant consonant	lː	02CD835C8B5754AB3DB22940C8405C85	lː
long nasalized unrounded open front vowel	ãː	330D41249CF0C4909A4938BE6FCC9311	ãː
palatalized voiceless alveolar stop consonant	tʲ	FC7AAC2F2DD0F75DE6A9EC1F88A4ADB6	tʲ
palatalized voiced velar stop consonant	gʲ	4257BA86C575A28CFD1C21C69CDCFB5B	ɡʲ
from unrounded open front to unrounded close front diphthong	ai	5E12425DA8E8C8FD24F187BE6A56D20F	ai
labialized voiced bilabial nasal consonant	mʷ	2F8EC6B0EA3ECBE22B3D360AF6A330C2	mʷ
voiceless pharyngeal fricative consonant	ħ	C699D862DAE3202097065A59720E60BC	ħ
voiceless retroflex sibilant-affricate consonant	ʈʂ	0C125CB557D530881A8F1E46A3EB6F0C	ʈʂ
voiceless dental ejective stop consonant	t̪ʼ	D3867260AB7CFE5A579FD7E8ACD31024	t̪ʼ
labialized voiced bilabial stop consonant	bʷ	2060144B3E5025B6C6FAAEBAF9EC4038	bʷ
breathy-voiced bilabial stop consonant	b̤	584E53EB5DC897FE333F996BB3854365	b̤
short low tone	¹	A923E0D43B03C879903B9B6602035AD0	˩
aspirated voiceless palatal stop consonant	cʰ	2653DF7B6901A0BABDDFBC146CF52EDE	cʰ
rounded close-mid front vowel	ø	5D97E1AF6BCE612603ABA26C7DDB941F	ø
long voiced bilabial stop consonant	bː	97DED3C2CA0EB378AC531C0752A6906F	bː
falling high low tone	⁵¹	AECCDE21AB903EB79ABBD4849EA099F4	˥˩
long voiceless alveolar sibilant-fricative consonant	sː	89F9825488A15324615819E7A614926B	sː
nasalized unrounded mid front vowel	ẽ̞	9D43C0121B4098359DE849B298AD20F0	ẽ̞
voiced palatal fricative consonant	ʝ	A5176F73648084056F9A091440AB3FBB	ʝ
rounded close central vowel	ʉ	2CABD4F4B64695E5329B759A3F63C146	ʉ
long unrounded open back vowel	ɑː	88AC5CE19511786367C819D16739C6E1	ɑː
from unrounded open front to rounded close back diphthong	au	25061B1A6BE5A4214D5C675C56B92574	au
unrounded close-mid back vowel	ɤ	80E0B47CF9A1F002B35B6AAB49574C61	ɤ
long voiceless bilabial stop consonant	pː	DAA293A200C8597396725116EC9D5654	pː
long voiceless alveolar stop consonant	tː	2FF610B79450F21F9661BCDB08BDC4BC	tː
breathy-voiced velar stop consonant	g̈	6AA3FEA3758FF09B65D27B20D04B0660	ɡʰ
labialized voiceless uvular stop consonant	qʷ	0CE464BCDDF6D25FC3C1DF3C67CE1C91	qʷ
long voiced velar stop consonant	gː	A1959D41630316B7022C7F211D6599D9	ɡː
devoiced voiced bilabial nasal consonant	m̥	3916F896B8FCC2F6FD583661E5332F28	m̥
voiced palatal imstop consonant	ʄ	434450844FAF9386CA9AD2E0E919570E	ʄ
aspirated voiceless uvular stop consonant	qʰ	871B92989C5EC420B7D61B05731D1E83	qʰ
rounded open-mid front vowel	œ	389AD3D35B8C71D1C73ABD769FAF15EB	œ
palatalized voiceless bilabial stop consonant	pʲ	A6BC925BE30427A4ECE5EB6136535393	pʲ
long nasalized rounded close-mid back vowel	õː	457E4E01C741D892326B84B8A7D1452E	õː
palatalized voiced bilabial nasal consonant	mʲ	57EA8AF98F6DB6ABCCA78C07BA1F964C	mʲ
voiced alveolar lateral-fricative consonant	ɮ	8AB7F55EAB4F34299B9887A4F4BCF42F	ɮ
labialized voiceless labio-dental fricative consonant	fʷ	B0F11F45DD73A42FF8CAC2032DF0CA71	fʷ
long unrounded nearly-open front vowel	æː	CB37024CEAE9409F30FC756C0578E93C	æː
voiced labialized-palatal approximant consonant	ɥ	1D99DEE96BB19529DC9E5ED7FA7BF68B	ɥ
palatalized voiced alveolar stop consonant	dʲ	3A357AE68F00D5DFDA9501F5ED36A6C3	dʲ
voiced pharyngeal fricative consonant	ʕ	55F94F929CDB58CDE9BE8333787E3A31	ʕ
long voiced palatal approximant consonant	jː	F3826EE83410EA00A7C1DF89AC317CAF	jː
labialized voiceless bilabial stop consonant	pʷ	89135AE8B291E91395AD52BAA7592587	pʷ
labialized voiceless uvular fricative consonant	χʷ	26770129337E78245F6006266F845267	χʷ
unrounded nearly-open central vowel	ɐ	7D5E23AD8E7FC92894F94CEB664FBE7C	ɐ
voiced alveolar approximant consonant	ɹ	BF93B485560325B98EACB69D278AD493	ɹ
