CLTS_NAME	BIPA_GRAPHEME	FREQUENCY	GRAPHEME
labialized aspirated voiceless uvular stop consonant	qʷʰ	617	qʰʷ
labialized voiceless uvular stop consonant	qʷ	702	qʷ
glottalized voiceless uvular stop consonant	qˀ	690	qˀ
labialized glottalized voiceless uvular stop consonant	qʷˀ	594	qˀʷ
voiceless uvular affricate consonant	qχ	51	qᵡ
voiced alveolar trill consonant	r	713	r
palatalized voiced alveolar trill consonant	rʲ	732	rʲ
glottalized voiced alveolar trill consonant	rˀ	710	rˀ
devoiced voiced alveolar trill consonant	r̥	731	r̥
voiced dental trill consonant	r̪	730	r̪
voiceless alveolar sibilant fricative consonant	s	343	s
aspirated voiceless alveolar sibilant fricative consonant	sʰ	300	sʰ
palatalized voiceless alveolar sibilant fricative consonant	sʲ	326	sʲ
labialized voiceless alveolar sibilant fricative consonant	sʷ	313	sʷ
glottalized voiceless alveolar sibilant fricative consonant	sˀ	306	sˀ
long voiceless alveolar sibilant fricative consonant	sː	376	sː
voiceless dental sibilant fricative consonant	s̪	319	s̪
glottalized long voiceless dental sibilant fricative consonant	s̪ˀː	328	s̪ːˀ
voiceless alveolar stop consonant	t	661	t
from voiceless alveolar stop to voiceless bilabial stop cluster	tp	649	tp
aspirated voiceless alveolar stop consonant	tʰ	569	tʰ
breathy voiceless alveolar stop consonant	tʱ	684	tʱ
palatalized voiceless alveolar stop consonant	tʲ	625	tʲ
glottalized voiceless alveolar stop consonant	tˀ	627	tˀ
long voiceless alveolar stop consonant	tː	593	tː
long with-lateral-release voiceless alveolar stop consonant	tˡː	11	tːˡ
glottalized long with-lateral-release voiceless alveolar stop consonant	tˀˡː	68	tːˡˀ
with-lateral-release voiceless alveolar stop consonant	tˡ	90	tˡ
aspirated with-lateral-release voiceless alveolar stop consonant	tʰˡ	104	tˡʰ
glottalized with-lateral-release voiceless alveolar stop consonant	tˀˡ	62	tˡˀ
with-lateral-release devoiced voiceless alveolar stop consonant	t̥ˡ	10	tˡ̥
aspirated with-lateral-release devoiced voiceless alveolar stop consonant	t̥ʰˡ	49	tˡ̥ʰ
voiceless alveolar sibilant affricate consonant	ts	98	tˢ
voiceless dental stop consonant	t̪	565	t̪
aspirated voiceless dental stop consonant	t̪ʰ	682	t̪ʰ
labialized voiceless dental stop consonant	t̪ʷ	695	t̪ʷ
glottalized voiceless dental stop consonant	t̪ˀ	679	t̪ˀ
voiceless dental affricate consonant	tθ	18	tᶿ
back rounded close back vowel	u	132	u
back breathy rounded close back vowel	ṳ	136	ṳ
retracted back rounded close back vowel	u̠	135	u̱
voiced labio-dental fricative consonant	v	347	v
aspirated voiced labio-dental fricative consonant	vʰ	398	vʰ
labialized voiced labio-dental fricative consonant	vʷ	294	vʷ
glottalized voiced labio-dental fricative consonant	vˀ	512	vˀ
long voiced labio-dental fricative consonant	vː	491	vː
long creaky voiced labio-dental fricative consonant	v̰ː	487	vː̰
voiced labio-dental tap consonant	ⱱ	501	v̆
devoiced voiced labio-dental fricative consonant	v̥	504	v̥
creaky voiced labio-dental fricative consonant	v̰	510	v̰
long creaky voiced labio-dental fricative consonant	v̰ː	503	v̰ː
voiced labialized-velar approximant consonant	w	424	w
glottalized voiced labialized-velar approximant consonant	wˀ	430	wˀ
devoiced voiced labialized-velar approximant consonant	w̥	423	w̥
voiceless velar fricative consonant	x	350	x
aspirated voiceless velar fricative consonant	xʰ	378	xʰ
labialized voiceless velar fricative consonant	xʷ	375	xʷ
glottalized voiceless velar fricative consonant	xˀ	299	xˀ
labialized glottalized voiceless velar fricative consonant	xʷˀ	349	xˀʷ
front rounded close front vowel	y	407	y
voiced alveolar sibilant fricative consonant	z	352	z
breathy voiced alveolar sibilant fricative consonant	zʱ	383	zʱ
labialized voiced alveolar sibilant fricative consonant	zʷ	355	zʷ
glottalized voiced alveolar sibilant fricative consonant	zˀ	331	zˀ
voiced dental sibilant fricative consonant	z̪	351	z̪
palatalized voiced dental sibilant fricative consonant	z̪ʲ	360	z̪ʲ
front unrounded nearly-open front vowel	æ	403	æ
voiced dental fricative consonant	ð	293	ð
palatalized voiced dental fricative consonant	ðʲ	334	ðʲ
front rounded close-mid front vowel	ø	406	ø
voiceless pharyngeal fricative consonant	ħ	297	ħ
voiced velar nasal consonant	ŋ	553	ŋ
palatalized voiced velar nasal consonant	ŋʲ	548	ŋʲ
labialized voiced velar nasal consonant	ŋʷ	523	ŋʷ
glottalized voiced velar nasal consonant	ŋˀ	527	ŋˀ
devoiced voiced velar nasal consonant	ŋ̊	559	ŋ̥
palatalized devoiced voiced velar nasal consonant	ŋ̥ʲ	550	ŋ̥ʲ
labialized devoiced voiced velar nasal consonant	ŋ̥ʷ	521	ŋ̥ʷ
front rounded open-mid front vowel	œ	412	œ
voiceless lateral click consonant	ǁ	230	ǁ
aspirated voiceless lateral click consonant	ǁʰ	239	ǁʰ
breathy voiceless lateral click consonant	ǁʱ	289	ǁʱ
glottalized voiceless lateral click consonant	ǁˀ	225	ǁˀ
glottalized aspirated voiceless lateral click consonant	ǁʰˀ	281	ǁˀʰ
voiceless palatal click consonant	ǂ	186	ǂ
aspirated voiceless palatal click consonant	ǂʰ	177	ǂʰ
breathy voiceless palatal click consonant	ǂʱ	210	ǂʱ
glottalized voiceless palatal click consonant	ǂˀ	284	ǂˀ
glottalized aspirated voiceless palatal click consonant	ǂʰˀ	234	ǂˀʰ
central unrounded nearly-open central vowel	ɐ	145	ɐ
back unrounded open back vowel	ɑ	139	ɑ
non-syllabic back unrounded open back vowel	ɑ̯	427	ɑ̯
back rounded open back vowel	ɒ	134	ɒ
voiced bilabial implosive consonant	ɓ	602	ɓ
labialized voiced bilabial implosive consonant	ɓʷ	671	ɓʷ
back rounded open-mid back vowel	ɔ	137	ɔ
back breathy rounded open-mid back vowel	ɔ̤	127	ɔ̤
voiced dental implosive consonant	ɗ	697	ɗ
central unrounded mid central vowel	ə	148	ə
central breathy unrounded mid central vowel	ə̤	153	ə̤
non-syllabic central unrounded mid central vowel	ə̯	417	ə̯
front unrounded open-mid front vowel	ɛ	410	ɛ
