CLTS_NAME	BIPA_GRAPHEME	GRAPHEME	URL
long voiceless palatal stop consonant	cː	cː	https://chridd.nfshost.com/diachronica/search?q=c%cb%90
unreleased voiceless palatal stop consonant	c̚	c̚	https://chridd.nfshost.com/diachronica/search?q=c%cc%9a
labialized voiceless palatal stop consonant	cʷ	cʷ	https://chridd.nfshost.com/diachronica/search?q=c%ca%b7
labialized long voiceless palatal stop consonant	cʷː	cʷː	https://chridd.nfshost.com/diachronica/search?q=c%ca%b7%cb%90
voiceless velar stop consonant	k	k	https://chridd.nfshost.com/diachronica/search?q=k
aspirated voiceless velar stop consonant	kʰ	kʰ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b0
long voiceless velar stop consonant	kː	kː	https://chridd.nfshost.com/diachronica/search?q=k%cb%90
pharyngealized voiceless velar stop consonant	kˤ	kˤ	https://chridd.nfshost.com/diachronica/search?q=k%cb%a4
from voiceless velar stop to voiceless bilabial stop cluster	kp	k͜p	https://chridd.nfshost.com/diachronica/search?q=k%cd%9cp
palatalized voiceless velar stop consonant	kʲ	kʲ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b2
palatalized long voiceless velar stop consonant	kʲː	kʲː	https://chridd.nfshost.com/diachronica/search?q=k%ca%b2%cb%90
labialized aspirated voiceless velar stop consonant	kʷʰ	kʰʷ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b0%ca%b7
labialized voiceless velar stop consonant	kʷ	kʷ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b7
labialized aspirated voiceless velar stop consonant	kʷʰ	kʷʰ	https://chridd.nfshost.com/diachronica/search?q=k%ca%b7%ca%b0
labialized long voiceless velar stop consonant	kʷː	kʷː	https://chridd.nfshost.com/diachronica/search?q=k%ca%b7%cb%90
palatalized labialized long voiceless velar stop consonant	kʲʷː	kʲʷː	https://chridd.nfshost.com/diachronica/search?q=k%ca%b2%ca%b7%cb%90
voiceless uvular stop consonant	q	q	https://chridd.nfshost.com/diachronica/search?q=q
aspirated voiceless uvular stop consonant	qʰ	qʰ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b0
long voiceless uvular stop consonant	qː	qː	https://chridd.nfshost.com/diachronica/search?q=q%cb%90
pharyngealized voiceless uvular stop consonant	qˤ	qˤ	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4
pharyngealized long voiceless uvular stop consonant	qˤː	qˤː	https://chridd.nfshost.com/diachronica/search?q=q%cb%a4%cb%90
voiceless uvular stop consonant	q	q͜	https://chridd.nfshost.com/diachronica/search?q=q%cd%9c
voiceless uvular stop consonant	q	q͡	https://chridd.nfshost.com/diachronica/search?q=q%cd%a1
voiceless uvular affricate consonant	qχ	q͡χ	https://chridd.nfshost.com/diachronica/search?q=q%cd%a1%cf%87
palatalized voiceless uvular stop consonant	qʲ	qʲ	https://chridd.nfshost.com/diachronica/search?q=q%ca%b2
