w	voiced labialized-velar approximant consonant		w				a voiced labial-velar approximant			
ɺ	voiced alveolar lateral tap consonant		ɺ				a voiced alveolar lateral flap			
ɥ	voiced labialized-palatal approximant consonant		ɥ				a voiced labial-palatal approximant			
ɧ	voiceless palatal-velar fricative consonant		ɧ				a simultaneous voiceless postalveolar and velar fricative			
ʜ	voiceless epiglottal fricative consonant		ʜ				a voiceless epiglottal fricative			
ʢ	voiced epiglottal fricative consonant		ʢ				a voiced epiglottal fricative or approximant			
kp	from voiceless velar stop to voiceless bilabial stop cluster		kp				an affricated kp			
ts	voiceless alveolar sibilant affricate consonant		ts				an affricated ts			
ʡ	voiceless epiglottal stop consonant		ʡ				an epiglottal plosive			
n̥	devoiced voiced alveolar nasal consonant		n̥				a devoiced voiced alveolar nasal			
d̥	devoiced voiced alveolar stop consonant		d̥				a devoiced voiced alveolar plosive			
bʱ	breathy voiced bilabial stop consonant		bʱ				a breathy voiced bilabial plosive			
a̤	breathy unrounded open front vowel		a̤				a breathy voiced open front unrounded vowel			
t̪	voiceless dental stop consonant		t̪				a dentalized voiceless alveolar plosive			
d̪	voiced dental stop consonant		d̪				a dentalized voiced alveolar plosive			
s̬	revoiced voiceless alveolar sibilant fricative consonant		s̬				a voiced voiceless alveolar fricative			
t̬	revoiced voiceless alveolar stop consonant		t̬				a voiced voiceless alveolar plosive			
b̰	creaky voiced bilabial stop consonant		b̰				a creaky voiced voiced bilabial plosive			
a̰	creaky unrounded open front vowel		a̰				a creaky voiced open front unrounded vowel			
t̺	voiceless apical alveolar stop consonant		t̺				an apical voiceless alveolar plosive			
d̺	voiced apical alveolar stop consonant		d̺				an apical voiced alveolar plosive			
tʰ	aspirated voiceless alveolar stop consonant		tʰ				an aspirated voiceless alveolar plosive			
dʰ	aspirated voiced alveolar stop consonant		dʰ				an aspirated voiced alveolar plosive			
			t̫				a linguolabialized voiceless alveolar plosive			
			d̫				a linguolabialized voiced alveolar plosive			
t̻	voiceless laminal alveolar stop consonant		t̻				a laminal voiceless alveolar plosive			
d̻	voiced laminal alveolar stop consonant		d̻				a laminal voiced alveolar plosive			
ɔ̹	more-rounded rounded open-mid back vowel		ɔ̹				a more rounded open-mid back rounded vowel			
tʷ	labialized voiceless alveolar stop consonant		tʷ				a labialized voiceless alveolar plosive			
dʷ	labialized voiced alveolar stop consonant		dʷ				a labialized voiced alveolar plosive			
ẽ	nasalized unrounded close-mid front vowel		ẽ				nasalized close-mid front unrounded vowel			
ɔ̜	less-rounded rounded open-mid back vowel		ɔ̜				a less rounded open-mid back rounded vowel			
tʲ	palatalized voiceless alveolar stop consonant		tʲ				a palatalized voiceless alveolar plosive			
dʲ	palatalized voiced alveolar stop consonant		dʲ				a palatalized voiced alveolar plosive			
dⁿ	with-nasal-release voiced alveolar stop consonant		dⁿ				a nasal released voiced alveolar plosive			
u̟	advanced rounded close back vowel		u̟				an advanced close back rounded vowel			
tˠ	velarized voiceless alveolar stop consonant		tˠ				a velarized voiceless alveolar plosive			
dˠ	velarized voiced alveolar stop consonant		dˠ				a velarized voiced alveolar plosive			
dˡ	with-lateral-release voiced alveolar stop consonant		dˡ				a laterally released voiced alveolar plosive			
e̠	retracted unrounded close-mid front vowel		e̠				a retracted close-mid front unrounded vowel			
tˤ	pharyngealized voiceless alveolar stop consonant		tˤ				a pharyngealized voiceless alveolar plosive			
dˤ	pharyngealized voiced alveolar stop consonant		dˤ				a pharyngealized voiced alveolar plosive			
d̚	unreleased voiced alveolar stop consonant		d̚				a voiced alveolar plosive with no audible release			
			ë				a centralized close-mid front unrounded vowel			
			ɫ				a velarized or pharyngealized alveolar lateral approximant			
			e̽				a mid-centralized close-mid front unrounded vowel'			
e̝	raised unrounded close-mid front vowel		e̝				a raised close-mid front unrounded vowel'			
			ɹ̝				a raised voiced alveolar fricative			
							##			
e̞	unrounded mid front vowel		e̞				a lowered close-mid front unrounded vowel'			
β̞	voiced bilabial approximant consonant		β̞				a lowered bilabial approximant'			
e̯	non-syllabic unrounded close-mid front vowel		e̯				a non-syllabic close-mid front unrounded vowel'			
e̘	advanced-tongue-root unrounded close-mid front vowel		e̘				an advanced tongue root close-mid front unrounded vowel'			
ə˞	rhotacized unrounded mid central vowel		ɚ				rhotic mid central vowel			
			a̢				rhotic open front unrounded vowel			
e̙	retracted-tongue-root unrounded close-mid front vowel		e̙				a retracted tongue root close-mid front unrounded vowel'			
			e̋				an extra-high tome close-mid front unrounded vowel			
			ě				a rising contour close-mid front unrounded vowel			
			é				a high-tone close-mid front unrounded vowel			
			ê				a falling contour close-mid front unrounded vowel			
			ē				a mid-tone close-mid front unrounded vowel			
							a high-rising contour close-mid front unrounded vowel			
			è				a low-tone close-mid front unrounded vowel			
							a low-rising contour close-mid front unrounded vowel			
			ȅ				an extra-low tone close-mid front unrounded vowel			
							a rising-falling contour close-mid front unrounded vowel			
